Name,Club,Position,Overall
Brugui,Levante UD,RM,71
John Buckley,Sheffield Wed,CDM,71
Julio Buffarini,Independiente,RB,71
Ezequiel Bullaude,Boca Juniors,CAM,71
Cristian Buonaiuto,Cremonese,LM,71
Brandon Bye,New England,RB,71
Jamie Bynoe-Gittens,Borussia Dortmund,LM,71
Sam Byram,Leeds United,LB,71
Ben Cabango,Swansea City,CB,71
Liberato Cacace,Empoli,LB,71
Martín Cáceres,LA Galaxy,CB,71
Jhonder Cádiz,FC Famalicão,ST,71
Riccardo Calafiori,Bologna,LB,71
Horacio Calcaterra,Universitario,CM,71
Francisco Calvo,Konyaspor,CB,71
Camarasa,R. Oviedo,CM,71
Fali Candé,FC Metz,CB,71
Cao Yunding,Shanghai Shenhua,LM,71
Pierrick Capelle,Angers SCO,CM,71
Marc Cardona,UD Las Palmas,ST,71
Óscar Cardozo,Libertad,ST,71
Federico Carrizo,Cerro Porteño,CAM,71
Tiago Santos,LOSC Lille,RB,71
Giuseppe Caso,Frosinone,LW,71
Fabián Castillo,Colo-Colo,ST,71
Nicolás Eduardo Castro,Platense,CM,71
Gonzalo Castro,Nacional,LM,71
Pietro Ceccaroni,Palermo,CB,71
Nathaniel Chalobah,West Brom,CDM,71
Muhammed Cham,Clermont Foot 63,CAM,71
Conor Chaplin,Ipswich,CAM,71
Pep Chavarría,Rayo Vallecano,LB,71
Vlad Chiricheș,FCSB,CB,71
Tahith Chong,Luton Town,RM,71
Cyrus Christie,Hull City,RB,71
Mojmír Chytil,Slavia Praha,ST,71
Gojko Cimirot,Al Fayha,CDM,71
Jordan Clark,Luton Town,CM,71
Matt Clarke,Middlesbrough,CB,71
Jonson Clarke-Harris,Peterborough,ST,71
Matías Cóccaro,Huracán,ST,71
Alex Cochrane,Hearts,LB,71
Marcus Coco,FC Nantes,RM,71
Vitinho,Ettifaq FC,CF,71
Timothé Cognat,Servette FC,CM,71
Michele Collocolo,Cremonese,CDM,71
Jairo Concha,Alianza Lima,CM,71
Cheick Conde,FC Zürich,CDM,71
Diego Coppola,Hellas Verona,CB,71
Córdoba,Burgos CF,CB,71
Claudio Corvalán,Unión,CB,71
Marquinhos,Ferencvárosi TC,CAM,71
Sebastián Cristóforo,Peñarol,CDM,71
Enzo Crivelli,Servette FC,ST,71
Matt Crooks,Middlesbrough,CM,71
Michaël Cuisance,VfL Osnabrück,CM,71
Antônio Carlos,Orlando City,CB,71
Nuno da Costa,Kasımpaşa,ST,71
Lucas Da Cunha,Como,CAM,71
Rafael Silva,Jeonbuk Hyundai,ST,71
Vitinho,Burnley,RB,71
Willyan,FC Seoul,LW,71
Henrik Dalsgaard,FC Midtjylland,CB,71
Toni Datković,Albacete BP,CB,71
Keinan Davis,Udinese,ST,71
Zeca,Pohang Steelers,ST,71
Konrad de la Fuente,SD Eibar,LM,71
Miguel,CD Leganés,ST,71
Paulino,R. Oviedo,RM,71
Artur,Houston Dynamo,CDM,71
Matías de los Santos,Colo-Colo,CB,71
Anselmo,Al Wehda,CM,71
Casper De Norre,Millwall,CM,71
Tiago Esgaio,Arouca,RB,71
Marcos André,R. Valladolid CF,ST,71
Zeno Debast,RSC Anderlecht,CB,71
Harrison Delbridge,Incheon United,CB,71
Jessy Deminguet,Strasbourg,CM,71
Cameron Devlin,Hearts,CDM,71
Francesco Di Mariano,Palermo,LW,71
Cassiano,Estoril Praia,ST,71
Davide Diaw,Bari,ST,71
Daryl Dike,West Brom,ST,71
Papy Djilobodji,Gaziantep,CB,71
Aron Dønnum,Toulouse FC,LM,71
Iago,Al Shabab,CB,71
Alberto Dossena,Cagliari,CB,71
Désiré Doué,Stade Rennais FC,CAM,71
Flynn Downes,Southampton,CDM,71
Callum Doyle,Leicester City,CB,71
Rade Dugalić,Meizhou Hakka,CB,71
Milan Đurić,Hellas Verona,ST,71
Enzo Ebosse,Udinese,CB,71
Kingsley Ehizibue,Udinese,RWB,71
Bilal El Khannouss,KRC Genk,CAM,71
Josip Elez,Hajduk Split,CB,71
Elgezabal,Burgos CF,CDM,71
Sergi Enrich,Real Zaragoza,ST,71
Ramiro Enrique,Orlando City,ST,71
Magnus Eriksson,Djurgårdens IF,CM,71
Emeka Friday Eze,Pendikspor,ST,71
César Falletti,Ternana,CAM,71
Federico Fazio,Salernitana,CB,71
Sofiane Feghouli,Karagümrük SK,RM,71
Gerso,Incheon United,LW,71
Bernardo,VfL Bochum,CB,71
Paolo Fernandes,AEK Athens,RM,71
Wesley,Stoke City,ST,71
Facundo Ferreyra,Sarmiento,ST,71
Sam Field,QPR,CDM,71
Kilian Fischer,VfL Wolfsburg,RB,71
John Fleck,Sheffield Utd,CM,71
Jonas Föhrenbach,Heidenheim,LB,71
Lamine Fomba,AS Saint-Étienne,CDM,71
Bartol Franjić,SV Darmstadt 98,CDM,71
Fabian Frei,FC Basel 1893,CDM,71
César Fuentes,Colo-Colo,CDM,71
Jay Fulton,Swansea City,CDM,71
Darnell Furlong,West Brom,RB,71
Gianluca Gaetano,Napoli FC,CAM,71
Konstantinos Galanopoulos,AEK Athens,CDM,71
Antonino Gallo,Lecce,LB,71
Santiago García,Alianza Lima,CB,71
Nicolas Gavory,Düsseldorf,LB,71
Joe Gelhardt,Leeds United,ST,71
Agustín Giay,San Lorenzo,RWB,71
Daniel Giraldo,Millonarios,CDM,71
Aníbal Godoy,Nashville SC,CDM,71
Thomas Goiginger,LASK,RM,71
Edoardo Goldaniga,Cagliari,CB,71
Pedro Malheiro,Boavista FC,RB,71
Jérôme Gondorf,Karlsruher SC,CM,71
Luciano Gondou,Argentinos Jrs.,ST,71
Luis González,Junior,LM,71
Giovanni González,RCD Mallorca,RWB,71
Quique,SD Eibar,LM,71
Gabriel Graciani,Instituto,RM,71
José Gragera,RCD Espanyol,CDM,71
Karlan Grant,Cardiff City,ST,71
Jacob Greaves,Hull City,CB,71
Albert Grønbæk,FK Bodø/Glimt,CAM,71
Ilia Gruev,Leeds United,CDM,71
Robert Gumny,FC Augsburg,RB,71
Felipe Gutiérrez,Sporting KC,CM,71
Raúl Guti,Elche CF,CM,71
Nicolas Haas,FC Luzern,CM,71
Dennis Hadžikadunić,Hamburger SV,CB,71
Craig Halkett,Hearts,CB,71
Han Kook Young,Gangwon FC,CM,71
Jens Petter Hauge,Frankfurt,LM,71
Isaac Hayden,Standard Liège,CDM,71
Dominique Heintz,1. FC Köln,CB,71
Michał Helik,Huddersfield,CB,71
Markus Henriksen,Rosenborg BK,CB,71
Valentin Henry,SM Caen,RB,71
Onel Hernández,Norwich,LM,71
Edwin Herrera,Junior,LB,71
Patrick Herrmann,M'gladbach,RM,71
Fredy Hinestroza,Junior,LM,71
Andrew Hjulsager,KAA Gent,CAM,71
André Hoffmann,Düsseldorf,CB,71
Alejandro Hohberg,Sporting Cristal,LW,71
Ryan Hollingshead,LAFC,RB,71
Sebastian Holmén,IF Elfsborg,CB,71
Lewis Holtby,Holstein Kiel,CM,71
Hong Jeong Ho,Jeonbuk Hyundai,CB,71
Martin Hongla,Hellas Verona,CM,71
Tomi Horvat,SK Sturm Graz,CAM,71
Sascha Horvath,LASK,CAM,71
Cédric Hountondji,Angers SCO,CB,71
Michael Hoyos,Independiente DV,ST,71
Ajdin Hrustić,Hellas Verona,CM,71
Shaun Hutchinson,Millwall,CB,71
Rareș Ilie,Lausanne-Sport,LM,71
Samuel Iling-Junior,Juventus,LM,71
Bonke Innocent,FC Lorient,CDM,71
Fotis Ioannidis,Panathinaikos,ST,71
Jairo,FC Cartagena,LM,71
Mato Jajalo,Venezia,CDM,71
Tony Jantschke,M'gladbach,CB,71
Ardon Jashari,FC Luzern,CDM,71
Bakery Jatta,Hamburger SV,RW,71
Elias Jelert,F.C. København,RB,71
Fredrik Jensen,FC Augsburg,CAM,71
Jeong Seung Hyun,Ulsan Hyundai,CB,71
Jeong Tae Wook,Jeonbuk Hyundai,CB,71
Alexander Jeremejeff,Panathinaikos,ST,71
Marco John,TSG Hoffenheim,LWB,71
Lasse Berg Johnsen,Malmö FF,CDM,71
Erik,Al Ain FC,LB,71
Sebastian Jørgensen,Malmö FF,RM,71
Dejan Joveljić,LA Galaxy,ST,71
Lago Júnior,R. Racing Club,LM,71
Matěj Jurásek,Slavia Praha,LW,71
Christian Kabasele,Udinese,CB,71
Damian Kądzior,Piast Gliwice,RM,71
Marcin Kamiński,FC Schalke 04,CB,71
Ismaël Kandouss,KAA Gent,CB,71
Mohammed Kanno,Al Hilal,CM,71
Adam Karabec,Sparta Praha,LW,71
Mikkel Kaufmann,Union Berlin,ST,71
Hayao Kawabe,Standard Liège,CM,71
Joris Kayembe,KRC Genk,LB,71
Edo Kayembe,Watford,CDM,71
Will Keane,Preston,ST,71
Yannik Keitel,SC Freiburg,CDM,71
Olivier Kemen,Kayserispor,CM,71
Tobias Kempe,SV Darmstadt 98,CM,71
Henry Kessler,New England,CB,71
Kim Dae Won,Gangwon FC,LW,71
Kim Jin Su,Jeonbuk Hyundai,LB,71
David Kinsombi,SC Paderborn 07,RM,71
Otar Kiteishvili,SK Sturm Graz,CAM,71
Sonny Kittel,Raków,CF,71
Felix Klaus,Düsseldorf,RM,71
László Kleinheisler,Panathinaikos,CAM,71
Jan Kliment,Viktoria Plzeň,ST,71
Bautista Kociubinski,Atlético Tucumán,CDM,71
Juan Cruz Komar,Rosario Central,CB,71
Giannis Kotsiras,Panathinaikos,RB,71
Koffi Kouao,FC Metz,RB,71
Anton Krivotsyuk,Daejeon Citizen,CB,71
Nicolas Kühn,SK Rapid Wien,RM,71
Saël Kumbedi,OL,RB,71
Solomon Kverkvelia,Al Okhdood,CB,71
Roman Květ,Sivasspor,CAM,71
Konstantinos Laifis,Standard Liège,CB,71
Ethan Laird,Birmingham City,RB,71
Sam Lammers,Rangers,CF,71
Johan Larsson,IF Elfsborg,RB,71
Richie Laryea,Whitecaps FC,RB,71
Kevin Lasagna,Karagümrük SK,CF,71
Sandro Lauper,BSC Young Boys,CDM,71
Amor Layouni,BK Häcken,RW,71
Tim Leibold,Sporting KC,LB,71
Álvaro Lemos,UD Las Palmas,RB,71
Timo Letschert,GwangJu FC,CB,71
Jamal Lewis,Watford,LB,71
Gastón Lezcano,Cobresal,RM,71
Jérémy Livolant,Bordeaux,LM,71
Robert Ljubicic,Dinamo Zagreb,CM,71
Danny Loader,FC Porto,ST,71
Marius Lode,FK Bodø/Glimt,CB,71
Gastón Lódico,Instituto,LM,71
Aaron Long,LAFC,CB,71
Cadu,Viktoria Plzeň,RB,71
Ricardo Lopes,Suwon FC,ST,71
Lisandro López,Sarmiento,ST,71
Renzo López,Tigre,ST,71
Matteo Lovato,Salernitana,CB,71
Nilson Loyola,Sporting Cristal,LB,71
Arnaud Lusamba,Pendikspor,CM,71
Francis Mac Allister,Rosario Central,CDM,71
Koki Machida,R. Union St.-G.,CB,71
José Machín,Monza,CM,71
Vitolo,Atlético de Madrid,LM,71
Mads Emil Madsen,AGF,CM,71
Jonatan Maidana,River Plate,CB,71
Habib Maïga,FC Metz,CDM,71
Róbert Mak,Sydney FC,LW,71
Antoine Makoumbou,Cagliari,CDM,71
Lennard Maloney,Heidenheim,CDM,71
Lucas Mancinelli,Dep. Cuenca,LW,71
Million Manhoef,Vitesse,RM,71
Braydon Manu,SV Darmstadt 98,ST,71
Agustín Martegani,Salernitana,CAM,71
Mauricio Martínez,LDU Quito,CDM,71
Fidel Martínez,Barcelona SC,RM,71
Damián Martínez,Rosario Central,RB,71
Thiago Martins,New York City FC,CB,71
Pedro Santos,D.C. United,LB,71
Gastón Martirena,Racing Club,RB,71
Emmanuel Mas,Colón,LB,71
Andrea Masiello,Südtirol,CB,71
Rabbi Matondo,Rangers,LW,71
Andreas Maxsø,Colorado Rapids,CB,71
Youssef Maziz,OH Leuven,CAM,71
Nathanaël Mbuku,FC Augsburg,CF,71
Kyle McFadzean,Coventry City,CB,71
Luke McNally,Stoke City,CB,71
Danny McNamara,Millwall,RB,71
Maicol Medina,Dep. Pereira,CDM,71
Jan Mejdr,Sparta Praha,RWB,71
Jérémy Mellot,CD Tenerife,RB,71
Yorleys Mena,UCV,ST,71
Houboulang Mendes,UD Almería,RB,71
Hernán Menosse,Peñarol,CB,71
Bernard Mensah,Al Tai,CM,71
Jonathan Mensah,SJ Earthquakes,CB,71
Chris Mepham,AFC Bournemouth,CB,71
Adrian Mierzejewski,Henan SSLM FC,CM,71
Valentin Mihăilă,Parma,LM,71
Antonio Milić,Lech Poznań,CB,71
Kamal Miller,Inter Miami CF,CB,71
Enzo Millot,VfB Stuttgart,CAM,71
Alexander Milošević,AIK,CB,71
Kento Misao,OH Leuven,CDM,71
Samy Mmaee,Ferencvárosi TC,CB,71
Brede Mathias Moe,FK Bodø/Glimt,CB,71
Anuar,R. Valladolid CF,CM,71
Tobias Mølgaard,AGF,CB,71
Jayson Molumby,West Brom,CDM,71
Júnior Moreno,FC Cincinnati,CDM,71
Didier Moreno,Junior,CDM,71
Santiago Moreno,Portland Timbers,RM,71
Stefano Moreo,Pisa,ST,71
Mateu Morey,Borussia Dortmund,RB,71
Sam Morsy,Ipswich,CDM,71
Dairon Mosquera,Santa Fe,LB,71
Jherson Mosquera,Newell's,RB,71
Mosquera,AD Alcorcón,CDM,71
Alex Mowatt,West Brom,CM,71
Pelly-Ruddock Mpanzu,Luton Town,CM,71
Bali Mumba,Plymouth Argyle,LWB,71
Jesús Murillo,LAFC,CB,71
Sei Muroya,Hannover 96,RWB,71
Adamo Nagalo,FC Nordsjælland,CB,71
Kal Naismith,Bristol City,CB,71
Robert Navarro,Cádiz CF,LW,71
Umut Nayir,Fenerbahçe,ST,71
Tsiy-William Ndenge,Grasshopper Club,CDM,71
Ionuț Nedelcearu,Palermo,CB,71
Jessic Ngankam,Frankfurt,ST,71
Nathan Ngoumou,M'gladbach,RM,71
Ibrahima Niane,Angers SCO,ST,71
Fer Niño,Burgos CF,ST,71
Clinton Njie,Sivasspor,RM,71
Niels Nkounkou,Frankfurt,LB,71
Olivier Ntcham,Samsunspor,CM,71
Randy Nteka,Rayo Vallecano,ST,71
Marcelino Núñez,Norwich,CM,71
Christoffer Nyman,IFK Norrköping,ST,71
Aiden O'Neill,Standard Liège,CDM,71
Oh Hyun Gyu,Celtic,ST,71
Jores Okore,Changchun Yatai,CB,71
Darius Olaru,FCSB,CM,71
Marquinhos,FC Nantes,RW,71
Jérôme Onguéné,Servette FC,CB,71
Christopher Operi,Havre AC,LB,71
Jerome Opoku,Başakşehir,CB,71
Nicolás Orsini,Unión,ST,71
Cristian Ortiz,Barcelona SC,CAM,71
Ben Osborn,Sheffield Utd,LWB,71
Sergio Otálvaro,Olimpia,RB,71
Berat Özdemir,Trabzonspor,CM,71
Oğuzhan Özyakup,Fortuna Sittard,CM,71
Kenneth Paal,QPR,LB,71
Walmer Pacheco,Junior,RB,71
Pacheco,Real Sociedad,CB,71
Nelson Palacio,Real Salt Lake,CM,71
Erik Palmer-Brown,Panathinaikos,CB,71
Aleksandar Paločević,FC Seoul,CM,71
Felipe Pardo,Indep. Medellín,RM,71
Park Ji Soo,Wuhan 3 Towns,CB,71
Park Jin Seob,Jeonbuk Hyundai,CDM,71
Anthony Partipilo,Parma,CF,71
Facundo Pellistri,Manchester Utd,RW,71
Ricardo Pepi,PSV,ST,71
Henrique Araújo,FC Famalicão,ST,71
Matheus Pereira,SD Eibar,CDM,71
Fabio Pereyra,Huracán,CB,71
Pablo Pérez,Newell's,CM,71
Hernán Pérez,Gral. Caballero,RM,71
Martín Pérez Guedes,Universitario,CM,71
Elvis Perlaza,Millonarios,RB,71
Gaëtan Perrin,AJ Auxerre,LM,71
Máximo Perrone,UD Las Palmas,CM,71
Gino Peruzzi,Alianza Lima,RB,71
Marvin Pieringer,Heidenheim,ST,71
Erik Pieters,West Brom,CB,71
Samuel Piette,CF Montréal,CDM,71
Mario Pineida,Barcelona SC,LB,71
Kaio Jorge,Frosinone,ST,71
Ezequiel Piovi,LDU Quito,CDM,71
Lorenzo Pirola,Salernitana,CB,71
Felix Platte,SC Paderborn 07,ST,71
Ryan Porteous,Watford,CB,71
Abdón Prats,RCD Mallorca,ST,71
Smail Prevljak,Hertha Berlin,ST,71
Jack Price,Colorado Rapids,CDM,71
Kai Pröger,Hansa Rostock,RM,71
Davy Pröpper,Vitesse,CM,71
Pubill,UD Almería,RB,71
Mateo Puerta,Águilas Doradas,RB,71
Quiles,Albacete BP,LM,71
Jeisson Quiñones,Águilas Doradas,CB,71
Julián Quiñónes,Deportes Tolima,CB,71
Juan Quintero,Dep. Pereira,CB,71
José Quintero,LDU Quito,RB,71
Piero Quispe,Universitario,CAM,71
Dani Raba,CD Leganés,RM,71
Jesurun Rak-Sakyi,Crystal Palace,RW,71
Benito Raman,RSC Anderlecht,ST,71
Juan Ramírez,Boca Juniors,CM,71
Ignacio Ramírez,Nacional,ST,71
Juanpe,Girona FC,CB,71
Luca Ravanelli,Cremonese,CB,71
Federico Redondo,Argentinos Jrs.,CM,71
Ferro,Hajduk Split,CB,71
Pablo Santos,Al Raed,CB,71
Radim Řezník,Viktoria Plzeň,RB,71
Federico Ricca,OH Leuven,CB,71
Matteo Ricci,Sampdoria,CDM,71
Renaud Ripart,ESTAC Troyes,RW,71
Jesús David Rivas,Águilas Doradas,CM,71
Patrick Roberts,Sunderland,RM,71
Kirian,UD Las Palmas,CM,71
Yonathan Rodríguez,Nacional,CDM,71
Alan Rodríguez,Argentinos Jrs.,CM,71
Mads Roerslev,Brentford,RWB,71
Marko Rog,Cagliari,CM,71
Agustín Rogel,Hertha Berlin,CB,71
Marcus Rohdén,Karagümrük SK,CM,71
Ariel Rojas,Belgrano,CM,71
Maximiliano Romero,Racing Club,ST,71
Iván Rossi,Platense,CDM,71
Joe Rothwell,AFC Bournemouth,CM,71
Patricio Rubio,Ñublense,ST,71
Miguel Rubio,Granada CF,CB,71
Modibo Sagnan,FC Utrecht,CB,71
Borja Sainz,Norwich,LM,71
Koki Saito,Sparta Rotterdam,LM,71
Hamza Sakhi,Melbourne City,CM,71
Bartosz Salamon,Lech Poznań,CB,71
Víctor Salazar,Olimpia,RB,71
Freddy Salazar,Águilas Doradas,RW,71
Tobias Salquist,Silkeborg IF,CB,71
Junior Sambia,Salernitana,RWB,71
Matisse Samoise,KAA Gent,RM,71
Francisco Moura,FC Famalicão,LB,71
Mario Sampirisi,Reggiana,RWB,71
Carlos Sánchez,San Lorenzo,CDM,71
Ricard,Granada CF,RB,71
Arouna Sangante,Havre AC,CB,71
Rúben Fernandes,Gil Vicente,CB,71
Aitor Sanz,CD Tenerife,CDM,71
Marcelo Saracchi,Boca Juniors,LB,71
Yusuf Sarı,Adana Demirspor,RW,71
Bouna Sarr,FC Bayern München,RB,71
Vincent Sasso,Boavista FC,CB,71
Joan Sastre,PAOK FC,RB,71
Andreas Schjelderup,FC Nordsjælland,LM,71
Fabian Schleusener,Karlsruher SC,ST,71
Niklas Schmidt,Toulouse FC,CAM,71
David Schnegg,SK Sturm Graz,LB,71
Rasmus Schüller,Djurgårdens IF,CDM,71
Mats Seuntjens,FC Utrecht,ST,71
Shin Jin Ho,Incheon United,CM,71
Otabek Shukurov,Karagümrük SK,CM,71
Abdallah Sima,Rangers,ST,71
David Simão,Arouca,CM,71
Dimitrios Siovas,Fortuna Sittard,CB,71
Ibrahim Sissoko,AS Saint-Étienne,ST,71
Tim Skarke,SV Darmstadt 98,RM,71
Michał Skóraś,Club Brugge,RM,71
Eric Smith,FC St. Pauli,CB,71
Tommy Smith,Middlesbrough,RB,71
Hrvoje Smolčić,Frankfurt,CB,71
Brandon Soppy,Torino,RWB,71
Santiago Sosa,Atlanta United,CDM,71
Matías Soulé,Frosinone,RM,71
Hélder Costa,Leeds United,RM,71
Kamal Sowah,Standard Liège,ST,71
Ali Sowe,MKE Ankaragücü,ST,71
Carlos Strandberg,Hatayspor,ST,71
Callum Styles,Barnsley,LWB,71
Cristián Suárez,Palestino,CB,71
Alex Suárez,UD Las Palmas,RB,71
Sam Surridge,Nashville SC,ST,71
Gastón Suso,Platense,CB,71
Stratos Svarnas,Raków,CB,71
Mamadou Sylla,R. Valladolid CF,ST,71
Oleksandr Syrota,Dynamo Kyiv,CB,71
Tang Miao,Rongcheng FC,RWB,71
Iván Tapia,Barracas Central,CAM,71
Stanislav Tecl,Slavia Praha,ST,71
Bryan Teixeira,SK Sturm Graz,ST,71
Mathys Tel,FC Bayern München,ST,71
Renzo Tesuri,Atlético Tucumán,RM,71
Benjamin Tetteh,FC Metz,ST,71
Isaac Kiese Thelin,Malmö FF,ST,71
Brandon Thomas,PAOK FC,ST,71
Erik Thommy,Sporting KC,CM,71
Jón Dagur Þorsteinsson,OH Leuven,LM,71
Mads Døhr Thychosen,AIK,RB,71
Frederik Tingager,AGF,CB,71
Anton Tinnerholm,Malmö FF,RB,71
Harry Toffolo,Nott'm Forest,LB,71
John Tolkin,Red Bulls,LB,71
Nouhou,Sounders FC,LB,71
Lorenzo Tonelli,Empoli,CB,71
Ernesto Torregrossa,Pisa,ST,71
Ahmed Touba,Lecce,CB,71
El Bilal Touré,Bergamo Calcio,ST,71
Conor Townsend,West Brom,LB,71
Adama Traoré,Hull City,CAM,71
Luca Tremolada,Modena,CAM,71
Ruan,Sassuolo,CB,71
Zlatko Tripić,Viking FK,LW,71
Sondre Tronstad,Blackburn Rovers,CM,71
William Troost-Ekong,PAOK FC,CB,71
Franco Troyansky,Lanús,ST,71
Scott Twine,Hull City,CAM,71
Anthony Ujah,Braunschweig,ST,71
Jere Uronen,Charlotte FC,LB,71
Gerard Valentín,SD Huesca,RM,71
Emanuele Valeri,Cremonese,LM,71
Yan Valery,Angers SCO,CB,71
Mattia Valoti,Pisa,CM,71
Mitchell van Bergen,FC Twente,RM,71
Jan Paul van Hecke,Brighton,CB,71
Leonel Vangioni,Newell's,LB,71
Zinho Vanheusden,Standard Liège,CB,71
Juan Pablo Vargas,Millonarios,CB,71
Jhonny Vásquez,Dep. Pereira,CDM,71
Larry Vásquez,Millonarios,CDM,71
Luis Vázquez,RSC Anderlecht,ST,71
Jesús Vázquez,Valencia CF,LB,71
Stefano Vecchia,Malmö FF,LM,71
Ronaldo Vieira,Sampdoria,CDM,71
João Teixeira,Shanghai Shenhua,RW,71
Lucas Villafañez,Apoel FC,CAM,71
Gonzalo Villar,Granada CF,CM,71
Nicolas Viola,Cagliari,CM,71
Michel Vlap,FC Twente,CAM,71
Murray Wallace,Millwall,CB,71
Rémi Walter,Sporting KC,CDM,71
Andreas Weimann,Bristol City,CAM,71
Tomáš Wiesner,Sparta Praha,RWB,71
Ben Wilmot,Stoke City,CB,71
Hannes Wolf,M'gladbach,LM,71
Mert Hakan Yandaş,Fenerbahçe,CM,71
Jerry Yates,Swansea City,ST,71
Leny Yoro,LOSC Lille,CB,71
Élie Youan,Hibernian,LM,71
Alessandro Zanoli,Napoli FC,RB,71
Alessio Zerbin,Napoli FC,LW,71
Abdelkabir Abqar,D. Alavés,CB,70
Ragnar Ache,Kaiserslautern,ST,70
Kasim Adams Nuhu,TSG Hoffenheim,CB,70
Junior Adamu,SC Freiburg,ST,70
Sargis Adamyan,1. FC Köln,ST,70
Claud Adjapong,Ascoli,RB,70
Dapo Afolayan,FC St. Pauli,LM,70
Felix Agu,SV Werder Bremen,RWB,70
Naouirou Ahamada,Crystal Palace,CM,70
Lucas Ahijado,R. Oviedo,RB,70
Semi Ajayi,West Brom,CB,70
Samet Akaydın,Fenerbahçe,CB,70
Ilias,Villarreal CF,RW,70
Saleh Al Amri,Al Ittihad,LM,70
Sultan Al Ghannam,Al Nassr,RB,70
Sami Al Khaibari,Al Fayha,CB,70
Musa Al Tamari,Montpellier,RM,70
Marc Albrighton,Leicester City,RM,70
Jordy Alcívar,Independiente DV,CM,70
Alkain,D. Alavés,RM,70
Jim Allevinah,Clermont Foot 63,RM,70
Ricardo Santos,Bolton,CB,70
Giorgio Altare,Venezia,CB,70
Viti Rozada,R. Oviedo,RM,70
Antony,Portland Timbers,RM,70
Bruno Amione,Hellas Verona,CB,70
José Amo,CD Tenerife,CB,70
Mikael Anderson,AGF,CM,70
Franko Andrijašević,Zhejiang Pro,CM,70
Adil Aouchiche,Sunderland,LM,70
Julian Araujo,UD Las Palmas,RB,70
Lucas Arce,Godoy Cruz,RB,70
Jorge Arias,Millonarios,CB,70
Alexis Arias,FBC Melgar,CM,70
José Arnáiz,CA Osasuna,LM,70
Zoran Arsenić,Raków,CB,70
Ahmet Arslan,1. FC Magdeburg,CM,70
Andrei Artean,Farul Constanța,CDM,70
Joel Asoro,FC Metz,RW,70
Britt Assombalonga,Antalyaspor,ST,70
Gustavo Assunção,FC Famalicão,CDM,70
Jani Atanasov,Cracovia,CM,70
Atienza,Burgos CF,CDM,70
Carlos Auzqui,San Lorenzo,CAM,70
Írven Ávila,Sporting Cristal,ST,70
Paulo Azzi,Cagliari,LB,70
Juninho Bacuna,Birmingham City,CDM,70
Aliou Badji,Bordeaux,ST,70
Miguel Baeza,CD Mirandés,RM,70
Sinan Bakış,Real Zaragoza,ST,70
William Balikwisha,Standard Liège,CAM,70
Alexandru Băluță,FCSB,CAM,70
Lameck Banda,Lecce,LW,70
Shandon Baptiste,Brentford,CM,70
Tai Baribo,Philadelphia,ST,70
Álvaro Barreal,FC Cincinnati,LM,70
Michael Barrios,LA Galaxy,RM,70
Filipe Soares,PAOK FC,CM,70
Alex Soares,Estoril Praia,CM,70
Modou Barrow,Sivasspor,RM,70
Kyle Bartley,West Brom,CB,70
Samuel Bastien,Kasımpaşa,CM,70
Danny Batth,Norwich,CB,70
Dylan Batubinsika,AS Saint-Étienne,CB,70
Robert Bauer,Al Tai,CB,70
Dominik Baumgartner,Wolfsberger AC,CB,70
Jon Bautista,SD Eibar,ST,70
Vakoun Issouf Bayo,Watford,ST,70
Finn Ole Becker,TSG Hoffenheim,CM,70
Chris Bedia,Servette FC,ST,70
Abdelkader Bedrane,Damac FC,CB,70
Maximilian Beier,TSG Hoffenheim,ST,70
Alexis Beka Beka,OGC Nice,CDM,70
Alessandro Bellemo,Como,CM,70
Ahmad Benali,Bari,CM,70
Carlos Benavídez,D. Alavés,CDM,70
Leandro Benegas,Colo-Colo,ST,70
Oliver Berg,Malmö FF,CF,70
Marcus Berg,IFK Göteborg,ST,70
Robert Berić,Tianjin JMT FC,ST,70
Álex Bermejo,Burgos CF,LM,70
Bermejo,Real Zaragoza,RM,70
Matúš Bero,VfL Bochum,CAM,70
Berrocal,SD Eibar,CB,70
Omar Bertel,Millonarios,LB,70
Nahir Besara,Hammarby IF,CAM,70
Giulian Biancone,Nott'm Forest,CB,70
Davide Biraschi,Karagümrük SK,RWB,70
Colby Bishop,Portsmouth,ST,70
Mariano Bíttolo,Argentinos Jrs.,LM,70
Stipe Biuk,LAFC,LW,70
Lautaro Blanco,Elche CF,LB,70
Álex Blanco,Como,LM,70
Brian Blasi,Central Córdoba,RB,70
Latif Blessing,Toronto FC,CM,70
Merveille Bokadi,Standard Liège,CB,70
Cristian Bordacahar,FBC Melgar,RW,70
Jan Bořil,Slavia Praha,LB,70
Hugo Boumous,ATK Mohun Bagan,CAM,70
Mehdi Bourabia,Frosinone,CM,70
Sonny Bradley,Derby County,CB,70
Robbie Brady,Preston,LWB,70
Diego Braghieri,Lanús,CB,70
Tim Breithaupt,FC Augsburg,CDM,70
Mark Brink,Silkeborg IF,CM,70
Callum Brittain,Blackburn Rovers,RB,70
Felicio Brown Forbes,Qingdao Hainiu,ST,70
Alan Browne,Preston,CM,70
Joe Bryan,Millwall,LB,70
Ola Brynhildsen,FC Midtjylland,ST,70
André Bukia,Arouca,RM,70
Onur Bulut,Beşiktaş,RB,70
Andrei Burcă,Al Okhdood,CB,70
