Name,Nation,Club,Position,Age,Overall,Shooting,Passing,Dribbling,Defending,Finishing
George Baldock,Greece,Sheffield Utd,RWB,30,71,47,63,68,66,50
Daniel Ballard,Northern Ireland,Sunderland,CB,24,71,30,50,56,71,25
Josepmir Ballón,Peru,Alianza Lima,CDM,35,71,63,68,62,66,58
Leon Balogun,Nigeria,Rangers,CB,35,71,44,59,58,71,30
Tudor Băluță,Romania,Farul Constanța,CDM,24,71,57,69,52,67,50
Abdoul Kader Bamba,France,FC Nantes,LM,29,71,61,65,76,40,61
Mattia Bani,Italy,Genoa,CB,29,71,19,42,50,73,18
Valentín Barco,Argentina,Boca Juniors,LB,19,71,44,70,73,65,40
Juan Barinaga,Argentina,Belgrano,RB,22,71,48,64,65,68,44
Aymen Barkok,Morocco,1. FSV Mainz 05,CAM,25,71,69,66,81,55,67
Daniel Barlaser,England,Middlesbrough,CDM,26,71,62,71,66,66,57
Ashley Barnes,England,Norwich,ST,33,71,71,69,68,47,71
Pier Barrios,Argentina,Godoy Cruz,CB,33,71,46,58,55,70,37
Daniele Baselli,Italy,Como,CM,31,71,71,75,74,64,67
Christian Bassogog,Cameroon,Shanghai Shenhua,ST,27,71,69,60,73,38,69
Gil Dias,Portugal,Legia Warszawa,LM,27,71,66,68,75,63,63
Jelle Bataille,Belgium,Royal Antwerp FC,RB,24,71,53,65,72,63,49
Alejandro Bedoya,United States,Philadelphia,CM,36,71,65,69,70,65,61
Felix Beijmo,Sweden,AGF,RWB,25,71,42,58,65,64,30
Amari'i Bell,Jamaica,Luton Town,LWB,29,71,50,60,68,69,47
Mohamed Ali Ben Romdhane,Tunisia,Ferencvárosi TC,CAM,24,71,71,70,70,62,68
Sofiane Bendebka,Algeria,Al Fateh,CAM,31,71,66,67,72,60,69
Gaston Benedetti,Argentina,Estudiantes,LB,22,71,57,61,70,70,58
László Bénes,Slovakia,Hamburger SV,CM,26,71,70,76,74,47,64
Jessy Benet,France,Grenoble Foot 38,CM,28,71,65,72,68,61,60
Veton Berisha,Norway,Molde FK,ST,29,71,70,63,67,37,71
Matteo Bianchetti,Italy,Cremonese,CB,30,71,35,56,55,72,21
Jake Bidwell,England,Coventry City,LWB,30,71,48,65,56,68,37
Veljko Birmančević,Serbia,Sparta Praha,RW,25,71,66,67,75,37,65
Alexis Blin,France,Lecce,CDM,27,71,53,63,59,68,49
Daniel Bocanegra,Colombia,Nacional,CB,36,71,55,68,61,70,42
Yann Bodiger,France,CD Tenerife,CDM,28,71,57,69,63,68,52
Emil Bohinen,Norway,Salernitana,CM,24,71,62,71,72,68,60
Nicolai Boilesen,Denmark,F.C. København,CB,31,71,47,66,65,72,40
Marcos Bolados,Chile,Colo-Colo,RW,27,71,65,65,72,56,67
Franck Boli,Côte d'Ivoire,Portland Timbers,ST,30,71,72,47,71,26,80
Federico Bonazzoli,Italy,Hellas Verona,ST,26,71,72,55,72,28,72
Toni Borevković,Croatia,Vitória SC,CB,26,71,30,46,43,71,26
Cristian Borja,Colombia,SC Braga,LB,30,71,50,64,69,66,49
Brandon Borrello,Australia,WS Wanderers,ST,28,71,72,65,75,44,72
Walter Bou,Argentina,Vélez Sarsfield,ST,30,71,73,64,70,49,71
Bilal Boutobba,France,Clermont Foot 63,RM,25,71,69,69,76,22,70
Dedryck Boyata,Belgium,Club Brugge,CB,32,71,30,51,53,71,20
Domagoj Bradarić,Croatia,Salernitana,LWB,23,71,55,65,69,68,53
Pedro Rebocho,Portugal,Al Khaleej,LB,28,71,57,68,71,66,45
Chumi,Spain,UD Almería,CB,24,71,36,51,51,71,30
James Bree,England,Southampton,RWB,25,71,45,64,67,67,38
Norberto Briasco,Armenia,Boca Juniors,ST,27,71,67,63,73,36,68
Dylan Bronn,Tunisia,Salernitana,CB,28,71,61,66,57,71,56
Brugui,Spain,Levante UD,RM,26,71,65,63,75,40,70
John Buckley,England,Sheffield Wed,CDM,23,71,60,67,71,65,59
Julio Buffarini,Argentina,Independiente,RB,35,71,58,64,69,65,50
Ezequiel Bullaude,Argentina,Boca Juniors,CAM,22,71,69,64,76,32,70
Cristian Buonaiuto,Italy,Cremonese,LM,30,71,71,67,70,44,72
Brandon Bye,United States,New England,RB,27,71,58,61,64,68,55
Jamie Bynoe-Gittens,England,Borussia Dortmund,LM,19,71,59,58,83,24,68
Sam Byram,England,Leeds United,LB,30,71,57,64,69,70,59
Ben Cabango,Wales,Swansea City,CB,23,71,28,42,42,72,24
Liberato Cacace,New Zealand,Empoli,LB,23,71,62,65,69,67,61
Martín Cáceres,Uruguay,LA Galaxy,CB,36,71,51,64,65,70,37
Jhonder Cádiz,Venezuela,FC Famalicão,ST,28,71,70,54,70,32,74
Riccardo Calafiori,Italy,Bologna,LB,21,71,48,58,66,68,28
Horacio Calcaterra,Peru,Universitario,CM,34,71,66,76,71,59,65
Francisco Calvo,Costa Rica,Konyaspor,CB,31,71,44,60,64,69,41
Camarasa,Spain,R. Oviedo,CM,29,71,71,71,70,68,69
Fali Candé,Guinea-Bissau,FC Metz,CB,25,71,50,62,65,72,38
Cao Yunding,China PR,Shanghai Shenhua,LM,33,71,64,67,73,36,60
Pierrick Capelle,France,Angers SCO,CM,36,71,71,73,72,67,69
Marc Cardona,Spain,UD Las Palmas,ST,28,71,69,62,70,27,69
Óscar Cardozo,Paraguay,Libertad,ST,40,71,76,63,63,27,75
Federico Carrizo,Argentina,Cerro Porteño,CAM,32,71,67,69,72,46,64
Tiago Santos,Portugal,LOSC Lille,RB,21,71,44,64,75,66,39
Giuseppe Caso,Italy,Frosinone,LW,24,71,68,63,75,27,69
Fabián Castillo,Colombia,Colo-Colo,ST,31,71,70,63,77,43,67
Nicolás Eduardo Castro,Argentina,Platense,CM,33,71,66,69,73,64,65
Gonzalo Castro,Uruguay,Nacional,LM,39,71,73,79,75,48,71
Pietro Ceccaroni,Italy,Palermo,CB,27,71,30,52,49,73,31
Nathaniel Chalobah,England,West Brom,CDM,28,71,61,66,73,69,54
Muhammed Cham,Austria,Clermont Foot 63,CAM,23,71,67,65,72,26,67
Conor Chaplin,England,Ipswich,CAM,26,71,69,65,70,42,70
Pep Chavarría,Spain,Rayo Vallecano,LB,25,71,49,64,67,64,48
Vlad Chiricheș,Romania,FCSB,CB,33,71,61,56,59,73,56
Tahith Chong,Holland,Luton Town,RM,23,71,63,67,73,50,63
Cyrus Christie,Republic of Ireland,Hull City,RB,31,71,59,66,72,66,54
Mojmír Chytil,Czech Republic,Slavia Praha,ST,24,71,70,50,66,23,72
Gojko Cimirot,Bosnia and Herzegovina,Al Fayha,CDM,30,71,61,67,65,68,57
Jordan Clark,England,Luton Town,CM,30,71,63,71,71,64,65
Matt Clarke,England,Middlesbrough,CB,27,71,37,53,64,71,30
Jonson Clarke-Harris,Jamaica,Peterborough,ST,29,71,73,55,66,28,72
Matías Cóccaro,Uruguay,Huracán,ST,25,71,71,48,69,40,73
Alex Cochrane,England,Hearts,LB,23,71,45,65,65,67,41
Marcus Coco,France,FC Nantes,RM,27,71,66,67,71,56,64
Vitinho,Brazil,Ettifaq FC,CF,30,71,70,70,73,39,67
Timothé Cognat,France,Servette FC,CM,25,71,62,69,72,62,58
Michele Collocolo,Italy,Cremonese,CDM,23,71,59,64,67,68,59
Jairo Concha,Peru,Alianza Lima,CM,24,71,69,68,68,60,69
Cheick Conde,Guinea,FC Zürich,CDM,23,71,64,61,67,69,60
Diego Coppola,Italy,Hellas Verona,CB,19,71,40,55,50,72,36
Córdoba,Spain,Burgos CF,CB,28,71,36,49,41,71,29
Claudio Corvalán,Argentina,Unión,CB,34,71,53,63,57,68,43
Marquinhos,Brazil,Ferencvárosi TC,CAM,23,71,69,63,78,27,66
Sebastián Cristóforo,Uruguay,Peñarol,CDM,30,71,57,66,60,70,50
Enzo Crivelli,France,Servette FC,ST,28,71,69,61,65,35,68
Matt Crooks,England,Middlesbrough,CM,29,71,67,64,69,68,69
Michaël Cuisance,France,VfL Osnabrück,CM,24,71,66,75,75,52,59
Antônio Carlos,Brazil,Orlando City,CB,30,71,34,43,33,71,28
Nuno da Costa,Cape Verde Islands,Kasımpaşa,ST,32,71,69,63,72,26,68
Lucas Da Cunha,France,Como,CAM,22,71,67,68,74,39,64
Rafael Silva,Brazil,Jeonbuk Hyundai,ST,31,71,70,65,75,32,71
Vitinho,Brazil,Burnley,RB,24,71,45,64,74,65,33
Willyan,Brazil,FC Seoul,LW,29,71,68,64,73,42,68
Henrik Dalsgaard,Denmark,FC Midtjylland,CB,34,71,59,63,64,70,59
Toni Datković,Croatia,Albacete BP,CB,29,71,29,46,26,70,25
Keinan Davis,England,Udinese,ST,25,71,69,54,73,43,72
Zeca,Brazil,Pohang Steelers,ST,26,71,69,54,65,27,71
Konrad de la Fuente,United States,SD Eibar,LM,22,71,67,69,75,19,69
Miguel,Spain,CD Leganés,ST,24,71,70,54,70,31,71
Paulino,Spain,R. Oviedo,RM,26,71,65,67,75,32,70
Artur,Brazil,Houston Dynamo,CDM,27,71,51,63,66,68,48
Matías de los Santos,Uruguay,Colo-Colo,CB,30,71,56,57,57,69,48
Anselmo,Brazil,Al Wehda,CM,34,71,67,67,73,68,66
Casper De Norre,Belgium,Millwall,CM,26,71,64,67,72,67,61
Tiago Esgaio,Portugal,Arouca,RB,28,71,55,64,64,69,49
Marcos André,Brazil,R. Valladolid CF,ST,26,71,72,60,69,38,71
Zeno Debast,Belgium,RSC Anderlecht,CB,19,71,53,68,69,70,51
Harrison Delbridge,Australia,Incheon United,CB,31,71,33,42,39,70,24
Jessy Deminguet,France,Strasbourg,CM,25,71,63,71,72,62,63
Cameron Devlin,Australia,Hearts,CDM,25,71,55,62,70,68,58
Francesco Di Mariano,Italy,Palermo,LW,27,71,67,65,74,52,67
Cassiano,Brazil,Estoril Praia,ST,34,71,70,54,62,27,71
Davide Diaw,Italy,Bari,ST,31,71,69,55,70,27,74
Daryl Dike,United States,West Brom,ST,23,71,71,47,64,21,71
Papy Djilobodji,Senegal,Gaziantep,CB,34,71,47,54,56,70,33
Aron Dønnum,Norway,Toulouse FC,LM,25,71,62,65,75,52,62
Iago,Brazil,Al Shabab,CB,31,71,30,51,45,70,23
Alberto Dossena,Italy,Cagliari,CB,24,71,32,47,49,72,23
Désiré Doué,France,Stade Rennais FC,CAM,18,71,66,65,80,33,67
Flynn Downes,England,Southampton,CDM,24,71,53,68,67,67,52
Callum Doyle,England,Leicester City,CB,20,71,35,65,70,71,23
Rade Dugalić,Serbia,Meizhou Hakka,CB,30,71,49,54,36,71,30
Milan Đurić,Bosnia and Herzegovina,Hellas Verona,ST,33,71,71,55,57,32,72
Enzo Ebosse,Cameroon,Udinese,CB,24,71,35,56,65,72,28
Kingsley Ehizibue,Nigeria,Udinese,RWB,28,71,57,62,70,65,54
Bilal El Khannouss,Morocco,KRC Genk,CAM,19,71,57,72,76,36,58
Josip Elez,Croatia,Hajduk Split,CB,29,71,60,68,62,70,52
Elgezabal,Spain,Burgos CF,CDM,30,71,50,59,43,71,47
Sergi Enrich,Spain,Real Zaragoza,ST,33,71,72,65,68,42,73
Ramiro Enrique,Argentina,Orlando City,ST,22,71,71,62,71,26,72
Magnus Eriksson,Sweden,Djurgårdens IF,CM,33,71,66,75,66,54,64
Emeka Friday Eze,Nigeria,Pendikspor,ST,27,71,72,55,66,26,73
César Falletti,Uruguay,Ternana,CAM,30,71,64,69,74,33,60
Federico Fazio,Argentina,Salernitana,CB,36,71,40,53,44,72,41
Sofiane Feghouli,Algeria,Karagümrük SK,RM,33,71,69,74,74,32,66
Gerso,Guinea-Bissau,Incheon United,LW,32,71,64,59,75,41,61
Bernardo,Brazil,VfL Bochum,CB,28,71,53,62,67,71,38
Paolo Fernandes,Spain,AEK Athens,RM,25,71,68,63,80,36,69
Wesley,Brazil,Stoke City,ST,26,71,70,65,67,38,68
Facundo Ferreyra,Argentina,Sarmiento,ST,32,71,71,58,72,30,71
Sam Field,England,QPR,CDM,25,71,54,63,59,71,52
Kilian Fischer,Germany,VfL Wolfsburg,RB,22,71,38,64,68,66,35
John Fleck,Scotland,Sheffield Utd,CM,32,71,69,73,70,66,65
Jonas Föhrenbach,Germany,Heidenheim,LB,27,71,39,57,64,69,29
Lamine Fomba,France,AS Saint-Étienne,CDM,25,71,52,63,69,69,47
Bartol Franjić,Croatia,SV Darmstadt 98,CDM,23,71,50,62,63,69,42
Fabian Frei,Switzerland,FC Basel 1893,CDM,34,71,69,70,68,70,67
César Fuentes,Chile,Colo-Colo,CDM,30,71,60,63,59,69,54
Jay Fulton,Scotland,Swansea City,CDM,29,71,55,63,65,71,53
Darnell Furlong,England,West Brom,RB,27,71,36,60,68,68,35
Gianluca Gaetano,Italy,Napoli FC,CAM,23,71,71,69,70,49,71
Konstantinos Galanopoulos,Greece,AEK Athens,CDM,25,71,69,68,70,69,69
Antonino Gallo,Italy,Lecce,LB,23,71,50,66,66,63,44
Santiago García,Argentina,Alianza Lima,CB,35,71,50,61,57,70,47
Nicolas Gavory,France,Düsseldorf,LB,28,71,62,70,70,68,56
Joe Gelhardt,England,Leeds United,ST,21,71,70,60,77,29,69
Agustín Giay,Argentina,San Lorenzo,RWB,19,71,58,64,70,67,59
Daniel Giraldo,Colombia,Millonarios,CDM,31,71,48,66,58,68,43
Aníbal Godoy,Panama,Nashville SC,CDM,33,71,55,65,65,64,53
Thomas Goiginger,Austria,LASK,RM,30,71,69,68,70,35,72
Edoardo Goldaniga,Italy,Cagliari,CB,29,71,33,49,51,72,22
Pedro Malheiro,Portugal,Boavista FC,RB,22,71,58,62,72,66,58
Jérôme Gondorf,Germany,Karlsruher SC,CM,35,71,64,70,68,68,59
Luciano Gondou,Argentina,Argentinos Jrs.,ST,22,71,71,61,68,36,72
Luis González,Venezuela,Junior,LM,32,71,69,68,74,37,71
Giovanni González,Uruguay,RCD Mallorca,RWB,29,71,43,60,61,67,28
Quique,Spain,SD Eibar,LM,33,71,70,66,69,43,70
Gabriel Graciani,Argentina,Instituto,RM,30,71,70,68,71,49,72
José Gragera,Spain,RCD Espanyol,CDM,23,71,50,67,65,72,45
Karlan Grant,England,Cardiff City,ST,26,71,71,62,72,33,71
Jacob Greaves,England,Hull City,CB,23,71,36,60,60,71,25
Albert Grønbæk,Denmark,FK Bodø/Glimt,CAM,22,71,66,68,72,62,67
Ilia Gruev,Bulgaria,Leeds United,CDM,23,71,48,67,68,68,44
Robert Gumny,Poland,FC Augsburg,RB,25,71,42,60,66,67,35
Felipe Gutiérrez,Chile,Sporting KC,CM,33,71,68,72,72,59,65
Raúl Guti,Spain,Elche CF,CM,26,71,66,69,65,65,66
Nicolas Haas,Switzerland,FC Luzern,CM,27,71,61,71,70,63,58
Dennis Hadžikadunić,Bosnia and Herzegovina,Hamburger SV,CB,25,71,30,47,43,70,29
Craig Halkett,Scotland,Hearts,CB,28,71,50,57,58,71,51
Han Kook Young,Korea Republic,Gangwon FC,CM,33,71,54,70,67,67,45
Jens Petter Hauge,Norway,Frankfurt,LM,23,71,67,65,75,40,68
Isaac Hayden,England,Standard Liège,CDM,28,71,58,61,68,71,50
Dominique Heintz,Germany,1. FC Köln,CB,30,71,37,60,58,71,23
Michał Helik,Poland,Huddersfield,CB,28,71,49,47,50,71,52
Markus Henriksen,Norway,Rosenborg BK,CB,31,71,66,66,64,69,64
Valentin Henry,France,SM Caen,RB,30,71,61,64,70,63,59
Onel Hernández,Cuba,Norwich,LM,30,71,65,62,76,34,62
Edwin Herrera,Colombia,Junior,LB,25,71,48,58,63,65,49
Patrick Herrmann,Germany,M'gladbach,RM,32,71,72,70,72,34,71
Fredy Hinestroza,Colombia,Junior,LM,33,71,63,67,73,43,54
Andrew Hjulsager,Denmark,KAA Gent,CAM,28,71,68,71,72,62,67
André Hoffmann,Germany,Düsseldorf,CB,30,71,38,56,51,71,29
Alejandro Hohberg,Peru,Sporting Cristal,LW,32,71,69,69,75,32,69
Ryan Hollingshead,United States,LAFC,RB,32,71,63,66,72,70,62
Sebastian Holmén,Sweden,IF Elfsborg,CB,31,71,36,49,40,72,30
Lewis Holtby,Germany,Holstein Kiel,CM,33,71,64,74,72,61,59
Hong Jeong Ho,Korea Republic,Jeonbuk Hyundai,CB,34,71,45,55,49,70,40
Martin Hongla,Cameroon,Hellas Verona,CM,25,71,69,68,74,65,67
Tomi Horvat,Slovenia,SK Sturm Graz,CAM,24,71,67,71,75,51,65
Sascha Horvath,Austria,LASK,CAM,27,71,69,70,72,48,68
Cédric Hountondji,Benin,Angers SCO,CB,29,71,33,53,49,72,28
Michael Hoyos,Argentina,Independiente DV,ST,32,71,70,66,71,38,72
Ajdin Hrustić,Australia,Hellas Verona,CM,27,71,69,73,71,57,65
Shaun Hutchinson,England,Millwall,CB,32,71,29,50,53,72,22
Rareș Ilie,Romania,Lausanne-Sport,LM,20,71,67,68,74,41,67
Samuel Iling-Junior,England,Juventus,LM,20,71,60,69,77,37,54
Bonke Innocent,Nigeria,FC Lorient,CDM,27,71,43,57,65,68,41
Fotis Ioannidis,Greece,Panathinaikos,ST,23,71,72,55,70,24,75
Jairo,Spain,FC Cartagena,LM,29,71,66,66,68,63,66
Mato Jajalo,Bosnia and Herzegovina,Venezia,CDM,35,71,64,70,71,70,58
Tony Jantschke,Germany,M'gladbach,CB,33,71,41,62,58,73,35
Ardon Jashari,Switzerland,FC Luzern,CDM,21,71,61,67,68,64,58
Bakery Jatta,Gambia,Hamburger SV,RW,25,71,69,66,73,39,69
Elias Jelert,Denmark,F.C. København,RB,20,71,56,62,71,64,56
Fredrik Jensen,Finland,FC Augsburg,CAM,26,71,68,68,75,51,68
Jeong Seung Hyun,Korea Republic,Ulsan Hyundai,CB,29,71,33,52,34,71,26
Jeong Tae Wook,Korea Republic,Jeonbuk Hyundai,CB,26,71,31,47,42,70,31
Alexander Jeremejeff,Sweden,Panathinaikos,ST,29,71,69,61,62,29,74
Marco John,Germany,TSG Hoffenheim,LWB,21,71,53,69,74,63,54
Lasse Berg Johnsen,Norway,Malmö FF,CDM,24,71,53,65,64,67,49
Erik,Brazil,Al Ain FC,LB,22,71,51,65,71,63,52
Sebastian Jørgensen,Denmark,Malmö FF,RM,23,71,63,64,68,24,67
Dejan Joveljić,Serbia,LA Galaxy,ST,24,71,70,63,70,31,72
Lago Júnior,Côte d'Ivoire,R. Racing Club,LM,32,71,69,61,73,33,69
Matěj Jurásek,Czech Republic,Slavia Praha,LW,20,71,70,64,73,47,69
Christian Kabasele,Belgium,Udinese,CB,32,71,50,51,57,71,49
Damian Kądzior,Poland,Piast Gliwice,RM,31,71,66,68,68,46,63
Marcin Kamiński,Poland,FC Schalke 04,CB,31,71,57,63,58,72,54
Ismaël Kandouss,Morocco,KAA Gent,CB,25,71,29,47,61,71,21
Mohammed Kanno,Saudi Arabia,Al Hilal,CM,29,71,68,70,73,67,66
Adam Karabec,Czech Republic,Sparta Praha,LW,20,71,65,69,75,34,64
Mikkel Kaufmann,Denmark,Union Berlin,ST,22,71,69,54,65,25,72
Hayao Kawabe,Japan,Standard Liège,CM,28,71,69,69,70,65,72
Joris Kayembe,Congo DR,KRC Genk,LB,29,71,62,68,74,61,61
Edo Kayembe,Congo DR,Watford,CDM,25,71,61,66,68,66,52
Will Keane,Republic of Ireland,Preston,ST,30,71,70,64,70,47,72
Yannik Keitel,Germany,SC Freiburg,CDM,23,71,48,63,62,69,44
Olivier Kemen,Cameroon,Kayserispor,CM,27,71,68,66,73,67,70
Tobias Kempe,Germany,SV Darmstadt 98,CM,34,71,73,76,71,55,69
Henry Kessler,United States,New England,CB,25,71,27,49,57,71,23
Kim Dae Won,Korea Republic,Gangwon FC,LW,26,71,68,66,72,29,66
Kim Jin Su,Korea Republic,Jeonbuk Hyundai,LB,31,71,43,64,67,65,29
David Kinsombi,Germany,SC Paderborn 07,RM,27,71,66,65,72,65,69
Otar Kiteishvili,Georgia,SK Sturm Graz,CAM,27,71,67,69,73,67,66
Sonny Kittel,Germany,Raków,CF,30,71,71,73,74,32,68
Felix Klaus,Germany,Düsseldorf,RM,31,71,66,65,74,39,65
László Kleinheisler,Hungary,Panathinaikos,CAM,29,71,70,68,74,60,66
Jan Kliment,Czech Republic,Viktoria Plzeň,ST,30,71,69,61,69,31,71
Bautista Kociubinski,Argentina,Atlético Tucumán,CDM,22,71,55,63,59,69,54
Juan Cruz Komar,Argentina,Rosario Central,CB,27,71,36,50,43,71,33
Giannis Kotsiras,Greece,Panathinaikos,RB,30,71,50,67,70,66,58
Koffi Kouao,Côte d'Ivoire,FC Metz,RB,25,71,39,55,67,67,35
Anton Krivotsyuk,Azerbaijan,Daejeon Citizen,CB,25,71,36,52,53,71,34
Nicolas Kühn,Germany,SK Rapid Wien,RM,23,71,61,63,75,24,63
Saël Kumbedi,France,OL,RB,18,71,42,62,71,65,39
Solomon Kverkvelia,Georgia,Al Okhdood,CB,31,71,37,50,34,73,38
Roman Květ,Czech Republic,Sivasspor,CAM,25,71,72,70,71,58,71
Konstantinos Laifis,Cyprus,Standard Liège,CB,30,71,58,64,68,72,46
Ethan Laird,England,Birmingham City,RB,22,71,54,65,74,66,54
Sam Lammers,Holland,Rangers,CF,26,71,72,62,73,34,73
Johan Larsson,Sweden,IF Elfsborg,RB,33,71,63,70,65,65,59
Richie Laryea,Canada,Whitecaps FC,RB,28,71,61,65,76,65,60
Kevin Lasagna,Italy,Karagümrük SK,CF,31,71,69,64,71,37,61
Sandro Lauper,Switzerland,BSC Young Boys,CDM,26,71,65,65,68,70,64
Amor Layouni,Tunisia,BK Häcken,RW,31,71,71,64,71,41,74
Tim Leibold,Germany,Sporting KC,LB,29,71,57,69,72,65,54
Álvaro Lemos,Spain,UD Las Palmas,RB,30,71,64,64,68,63,60
Timo Letschert,Holland,GwangJu FC,CB,30,71,54,61,55,70,47
Jamal Lewis,Northern Ireland,Watford,LB,25,71,53,65,73,69,53
Gastón Lezcano,Argentina,Cobresal,RM,36,71,69,65,74,24,73
Jérémy Livolant,France,Bordeaux,LM,25,71,71,66,72,57,69
Robert Ljubicic,Croatia,Dinamo Zagreb,CM,24,71,57,67,71,64,56
Danny Loader,England,FC Porto,ST,23,71,70,61,75,23,72
Marius Lode,Norway,FK Bodø/Glimt,CB,30,71,42,60,63,71,36
Gastón Lódico,Argentina,Instituto,LM,25,71,58,70,75,56,56
Aaron Long,United States,LAFC,CB,30,71,39,54,58,68,38
Cadu,Brazil,Viktoria Plzeň,RB,26,71,65,69,71,66,62
Ricardo Lopes,Brazil,Suwon FC,ST,32,71,72,64,73,37,72
Lisandro López,Argentina,Sarmiento,ST,40,71,72,70,71,53,71
Renzo López,Uruguay,Tigre,ST,29,71,72,53,65,26,75
Matteo Lovato,Italy,Salernitana,CB,23,71,30,52,59,72,24
Nilson Loyola,Peru,Sporting Cristal,LB,28,71,50,58,57,68,53
Arnaud Lusamba,Congo DR,Pendikspor,CM,26,71,64,70,73,64,64
Francis Mac Allister,Argentina,Rosario Central,CDM,27,71,47,65,67,70,35
Koki Machida,Japan,R. Union St.-G.,CB,26,71,42,56,41,69,34
José Machín,Equatorial Guinea,Monza,CM,27,71,63,70,74,60,60
Vitolo,Spain,Atlético de Madrid,LM,33,71,72,69,73,40,70
Mads Emil Madsen,Denmark,AGF,CM,25,71,61,71,72,68,60
Jonatan Maidana,Argentina,River Plate,CB,38,71,39,62,40,71,37
Habib Maïga,Côte d'Ivoire,FC Metz,CDM,27,71,54,65,68,68,45
Róbert Mak,Slovakia,Sydney FC,LW,32,71,70,66,75,39,72
Antoine Makoumbou,Congo,Cagliari,CDM,25,71,54,65,77,67,51
Lennard Maloney,Germany,Heidenheim,CDM,24,71,44,56,59,71,42
Lucas Mancinelli,Argentina,Dep. Cuenca,LW,34,71,71,66,68,55,73
Million Manhoef,Holland,Vitesse,RM,21,71,63,63,72,60,66
Braydon Manu,Ghana,SV Darmstadt 98,ST,26,71,67,63,76,37,72
Agustín Martegani,Argentina,Salernitana,CAM,23,71,69,69,74,50,66
Mauricio Martínez,Argentina,LDU Quito,CDM,30,71,59,66,73,65,49
Fidel Martínez,Ecuador,Barcelona SC,RM,33,71,68,64,72,32,69
Damián Martínez,Argentina,Rosario Central,RB,33,71,64,65,71,67,62
Thiago Martins,Brazil,New York City FC,CB,28,71,41,56,54,71,36
Pedro Santos,Portugal,D.C. United,LB,35,71,68,70,74,68,64
Gastón Martirena,Uruguay,Racing Club,RB,23,71,64,67,70,65,55
Emmanuel Mas,Argentina,Colón,LB,34,71,60,65,67,67,53
Andrea Masiello,Italy,Südtirol,CB,37,71,37,55,54,73,23
Rabbi Matondo,Wales,Rangers,LW,23,71,66,63,71,38,64
Andreas Maxsø,Denmark,Colorado Rapids,CB,29,71,45,54,41,70,47
Youssef Maziz,France,OH Leuven,CAM,25,71,69,72,75,34,70
Nathanaël Mbuku,France,FC Augsburg,CF,21,71,65,70,77,35,65
Kyle McFadzean,England,Coventry City,CB,36,71,37,49,50,71,35
Luke McNally,Republic of Ireland,Stoke City,CB,24,71,35,52,67,71,37
Danny McNamara,Republic of Ireland,Millwall,RB,24,71,41,60,65,66,39
Maicol Medina,Colombia,Dep. Pereira,CDM,26,71,60,63,59,67,59
Jan Mejdr,Czech Republic,Sparta Praha,RWB,28,71,46,56,65,69,42
Jérémy Mellot,France,CD Tenerife,RB,29,71,42,57,64,66,42
Yorleys Mena,Colombia,UCV,ST,32,71,73,50,69,35,78
Houboulang Mendes,Guinea-Bissau,UD Almería,RB,25,71,42,61,63,70,39
Hernán Menosse,Uruguay,Peñarol,CB,36,71,42,41,30,75,33
Bernard Mensah,Ghana,Al Tai,CM,28,71,70,71,75,62,68
Jonathan Mensah,Ghana,SJ Earthquakes,CB,33,71,46,56,48,69,28
Chris Mepham,Wales,AFC Bournemouth,CB,25,71,37,55,58,72,32
Adrian Mierzejewski,Poland,Henan SSLM FC,CM,36,71,70,73,77,48,68
Valentin Mihăilă,Romania,Parma,LM,23,71,65,65,72,33,67
Antonio Milić,Croatia,Lech Poznań,CB,29,71,42,60,43,72,34
Kamal Miller,Canada,Inter Miami CF,CB,26,71,48,62,68,68,46
Enzo Millot,France,VfB Stuttgart,CAM,21,71,63,68,76,52,65
Alexander Milošević,Sweden,AIK,CB,31,71,53,58,53,71,45
Kento Misao,Japan,OH Leuven,CDM,27,71,49,65,71,69,43
Samy Mmaee,Morocco,Ferencvárosi TC,CB,27,71,32,48,51,73,28
Brede Mathias Moe,Norway,FK Bodø/Glimt,CB,31,71,43,53,55,70,34
Anuar,Morocco,R. Valladolid CF,CM,28,71,65,67,71,67,68
Tobias Mølgaard,Denmark,AGF,CB,27,71,44,61,63,70,40
Jayson Molumby,Republic of Ireland,West Brom,CDM,24,71,53,66,67,64,54
Júnior Moreno,Venezuela,FC Cincinnati,CDM,30,71,58,68,61,68,56
Didier Moreno,Colombia,Junior,CDM,32,71,40,58,57,68,30
Santiago Moreno,Colombia,Portland Timbers,RM,23,71,66,61,79,51,66
Stefano Moreo,Italy,Pisa,ST,30,71,66,61,67,47,67
Mateu Morey,Spain,Borussia Dortmund,RB,23,71,46,67,75,68,49
Sam Morsy,Egypt,Ipswich,CDM,32,71,60,63,64,66,57
Dairon Mosquera,Colombia,Santa Fe,LB,31,71,39,63,57,65,27
Jherson Mosquera,Colombia,Newell's,RB,24,71,41,59,50,69,38
Mosquera,Spain,AD Alcorcón,CDM,35,71,59,69,65,70,58
Alex Mowatt,England,West Brom,CM,28,71,69,73,65,63,63
Pelly-Ruddock Mpanzu,Congo DR,Luton Town,CM,29,71,63,66,73,69,60
Bali Mumba,England,Plymouth Argyle,LWB,22,71,60,65,71,64,62
Jesús Murillo,Colombia,LAFC,CB,29,71,38,54,59,71,35
Sei Muroya,Japan,Hannover 96,RWB,29,71,59,60,66,63,60
