Name,Club,Position,Overall,Shooting,Passing,Dribbling,Defending,Finishing
Falaye Sacko,Montpellier,RB,75,45,62,70,69,43
Diadié Samassékou,TSG Hoffenheim,CDM,75,49,64,68,75,42
Javi Sánchez,R. Valladolid CF,CB,75,56,56,57,76,56
Giorgio Scalvini,Bergamo Calcio,CB,75,31,51,48,78,23
Bart Schenkeveld,Panathinaikos,CB,75,40,61,62,75,34
Jerdy Schouten,PSV,CDM,75,56,67,74,74,52
Benjamin Šeško,RB Leipzig,ST,75,74,60,72,42,75
Ryan Sessegnon,Spurs,LB,75,64,72,76,70,66
Xherdan Shaqiri,Chicago Fire FC,CAM,75,75,77,78,42,69
Ahmed Sharahili,Al Ittihad,CB,75,33,61,58,74,31
Jonjo Shelvey,Çaykur Rizespor,CM,75,69,80,72,62,60
Djibril Sidibé,AEK Athens,RB,75,62,71,71,72,60
Leonardo Sigali,Racing Club,CB,75,51,60,58,75,50
Alejandro Silva,Olimpia,RM,75,68,72,75,63,66
David Silva,Millonarios,CAM,75,69,74,68,54,72
Cesinha,Daegu FC,ST,75,76,71,75,32,75
Gijs Smal,FC Twente,LB,75,61,76,73,69,57
Dominic Solanke,AFC Bournemouth,ST,75,74,64,75,28,76
Pablo Solari,River Plate,RM,75,73,67,76,26,76
Asger Sørensen,Sparta Praha,CB,75,43,59,58,77,35
Boubakary Soumaré,Sevilla FC,CDM,75,56,73,75,70,51
Ricardo Esgaio,Sporting CP,RWB,75,66,74,74,69,65
Walace,Udinese,CDM,75,66,68,69,72,58
Anton Stach,TSG Hoffenheim,CM,75,67,74,72,74,58
Josip Stanišić,Leverkusen,RB,75,39,60,65,76,39
Kevin Stöger,VfL Bochum,CM,75,66,78,71,60,64
Luis Javier Suárez,UD Almería,ST,75,77,64,73,40,79
Denis Suárez,Villarreal CF,CM,75,71,78,78,64,71
Heorhii Sudakov,Shakhtar Donetsk,CAM,75,72,71,75,52,71
Serhiy Sydorchuk,KVC Westerlo,CDM,75,68,68,70,71,62
Damian Szymański,AEK Athens,CDM,75,66,67,69,73,67
Marcus Tavernier,AFC Bournemouth,LM,75,72,71,79,59,72
Greg Taylor,Celtic,LB,75,52,74,73,72,43
Kenneth Taylor,Ajax,CM,75,69,78,76,64,68
Nahuel Tenaglia,D. Alavés,RB,75,43,65,72,74,37
Tarik Tissoudali,KAA Gent,CF,75,73,68,84,27,77
Cenk Tosun,Beşiktaş,ST,75,77,67,72,36,77
Bertrand Traoré,Aston Villa,RM,75,72,72,81,45,73
Adama Traoré,Ferencvárosi TC,RW,75,72,64,76,23,80
Felix Uduokhai,FC Augsburg,CB,75,39,53,49,76,33
Aurélio Buta,Frankfurt,RM,75,60,69,76,67,54
Deniz Undav,VfB Stuttgart,ST,75,79,70,73,32,80
Mark Uth,1. FC Köln,CAM,75,77,74,76,40,75
Milan van Ewijk,Coventry City,RWB,75,54,60,71,70,52
Kevin,RC Celta,RB,75,53,67,65,73,55
Alan Velasco,FC Dallas,LM,75,68,71,81,52,67
Alejo Veliz,Spurs,ST,75,74,54,70,25,79
Domagoj Vida,AEK Athens,CB,75,40,58,53,77,41
Tonny Vilhena,Panathinaikos,CM,75,73,75,75,73,73
Rodrigo Villagra,Talleres,CDM,75,48,66,72,73,38
Lázaro,UD Almería,LM,75,71,69,78,43,77
Jed Wallace,West Brom,RM,75,70,72,75,45,71
Shon Weissman,Granada CF,ST,75,78,64,65,38,80
Harry Wilson,Fulham,RM,75,77,75,74,43,74
Chris Wood,Nott'm Forest,ST,75,76,60,69,40,76
Andriy Yarmolenko,Dynamo Kyiv,RM,75,78,76,78,42,77
Ryan Yates,Nott'm Forest,CDM,75,59,62,64,74,60
Miha Zajc,Fenerbahçe,CM,75,75,76,75,65,72
Edon Zhegrova,LOSC Lille,RM,75,67,69,79,25,66
Adem Zorgane,Sp. Charleroi,CM,75,71,74,75,68,69
Brenden Aaronson,Union Berlin,CAM,74,66,70,80,54,65
Liel Abada,Celtic,RW,74,71,67,70,41,72
Saud Abdulhamid,Al Hilal,RB,74,42,58,69,68,35
Michel Aebischer,Bologna,CM,74,65,74,75,65,66
Akapo,SJ Earthquakes,RB,74,52,60,69,72,42
Akieme,UD Almería,LB,74,44,60,67,70,40
Kevin Akpoguma,TSG Hoffenheim,CB,74,48,59,73,75,45
Iván Alejo,Cádiz CF,RM,74,72,72,80,46,75
Aleñá,Getafe CF,CM,74,67,74,71,59,66
Samú Costa,RCD Mallorca,CDM,74,63,67,66,70,57
Sergio Álvarez,SD Eibar,CDM,74,65,67,64,70,60
Daniel Amartey,Beşiktaş,CB,74,55,62,68,75,46
Zeki Amdouni,Burnley,ST,74,74,69,76,46,76
Samu,FC Vizela,CM,74,70,70,81,58,74
Ethan Ampadu,Leeds United,CDM,74,49,63,67,74,51
Tiago Gouveia,SL Benfica,RM,74,68,66,77,28,71
Sergio Araujo,AEK Athens,ST,74,75,68,73,46,74
Tolgay Arslan,Melbourne City,CM,74,73,74,78,70,68
Takuma Asano,VfL Bochum,RM,74,68,62,77,32,71
Kristjan Asllani,Inter,CM,74,61,73,73,69,57
Jordan Ayew,Crystal Palace,RW,74,72,69,78,55,71
Tiago Tomás,VfL Wolfsburg,ST,74,70,58,78,39,71
Carlos Bacca,Junior,ST,74,75,64,71,32,78
Matthias Bader,SV Darmstadt 98,RWB,74,39,62,69,68,37
Nedim Bajrami,Sassuolo,CAM,74,68,72,77,59,68
Mitchel Bakker,Bergamo Calcio,LWB,74,54,65,72,72,50
Pedrinho,MKE Ankaragücü,CM,74,70,76,75,59,60
Melvin Bard,OGC Nice,LB,74,52,67,73,70,45
Enis Bardhi,Trabzonspor,CM,74,78,77,78,58,74
Adam Bareiro,San Lorenzo,ST,74,72,57,72,39,74
Ross Barkley,Luton Town,CAM,74,72,73,78,56,68
Barrenetxea,Real Sociedad,LM,74,71,65,81,24,74
Nahuel Barrios,San Lorenzo,LW,74,67,67,80,37,68
Toma Bašić,Latium,CM,74,66,75,74,72,57
Calvin Bassey,Fulham,CB,74,44,62,66,73,36
Mourad Batna,Al Fateh,RW,74,74,71,79,36,70
Martin Baturina,Dinamo Zagreb,CM,74,67,75,83,59,62
Mohamed Bayo,Havre AC,ST,74,75,60,75,26,77
Riechedly Bazoer,AZ,CM,74,68,75,75,72,64
Jan Bednarek,Southampton,CB,74,22,54,50,74,19
Kevin Behrens,Union Berlin,ST,74,73,51,64,41,78
Armel Bella Kotchap,PSV,CB,74,25,50,39,74,20
Darío Benedetto,Boca Juniors,ST,74,76,69,72,34,75
Yassine Benrahou,Hajduk Split,CAM,74,68,74,78,42,65
Christian Benteke,D.C. United,ST,74,75,62,65,32,76
Pietro Beruatto,Pisa,LB,74,43,59,65,74,37
Jan-Niklas Beste,Heidenheim,LM,74,67,70,74,60,70
Sam Beukema,Bologna,CB,74,55,58,60,75,50
Saad Bguir,Abha Club,CAM,74,71,72,77,33,73
Samuele Birindelli,Monza,RWB,74,52,65,68,70,44
Yann Aurel Bisseck,Inter,CB,74,49,60,66,73,45
Victor Boniface,Leverkusen,ST,74,74,62,71,37,73
Jovane Cabral,Salernitana,LW,74,74,71,77,38,70
Edoardo Bove,Roma FC,CM,74,68,67,72,74,68
André André,Vitória SC,CM,74,69,75,76,68,66
Darko Brašanac,CA Osasuna,CM,74,70,72,69,72,68
Joshua Brenet,FC Twente,RB,74,53,67,75,69,60
Ben Brereton Díaz,Villarreal CF,LM,74,73,66,75,41,75
David Brooks,AFC Bournemouth,RM,74,71,75,80,48,71
Pavel Bucha,Viktoria Plzeň,CDM,74,68,74,75,69,64
Christian Burgess,R. Union St.-G.,CB,74,34,53,45,76,36
Jonathan Burkardt,1. FSV Mainz 05,ST,74,73,67,80,43,74
Leandro Cabrera,RCD Espanyol,CB,74,45,55,50,75,36
Tom Cairney,Fulham,CM,74,72,77,75,62,70
Luca Caldirola,Monza,CB,74,42,63,59,76,28
Calero,RCD Espanyol,CB,74,42,66,65,75,37
Nicolò Cambiaghi,Empoli,ST,74,73,62,78,38,73
Andrea Cambiaso,Juventus,LB,74,54,70,75,69,49
Jaminton Campaz,Rosario Central,LM,74,71,71,75,30,72
Nicolás Capaldo,RB Salzburg,CM,74,69,71,72,69,71
Iza Carcelén,Cádiz CF,RB,74,58,70,70,69,47
Tomás Cardona,Defensa,CB,74,41,49,55,75,37
Sergi Cardona,UD Las Palmas,LB,74,42,60,61,73,40
Ramiro Carrera,Atlético Tucumán,CM,74,71,73,74,64,71
Fábio Carvalho,RB Leipzig,CAM,74,68,68,76,45,73
Alexis Castro,Tigre,LM,74,72,73,73,66,70
Matías Catalán,Talleres,CB,74,58,66,63,74,59
Federico Ceccherini,Karagümrük SK,CB,74,48,58,62,75,41
Calum Chambers,Aston Villa,CB,74,56,70,66,75,54
Tomás Chancalay,New England,LM,74,72,70,76,40,70
Diego Chará,Portland Timbers,CDM,74,55,64,70,70,49
Joris Chotard,Montpellier,CDM,74,54,72,75,71,52
Anders Christiansen,Malmö FF,CM,74,73,72,75,65,72
Ryan Christie,AFC Bournemouth,RM,74,71,72,75,65,71
Pathé Ciss,Rayo Vallecano,CDM,74,56,61,60,72,55
Nathaniel Clyne,Crystal Palace,RB,74,60,70,71,74,54
Massimo Coda,Cremonese,ST,74,75,58,71,25,79
Antonio Čolak,Parma,ST,74,76,58,68,34,80
Omar Colley,Beşiktaş,CB,74,31,48,49,73,28
Andrea Colpani,Monza,CM,74,64,74,76,64,58
Levi Colwill,Chelsea,CB,74,34,62,68,74,26
Lewis Cook,AFC Bournemouth,CM,74,63,74,77,66,61
Jake Cooper,Millwall,CB,74,32,48,49,74,30
Liam Cooper,Leeds United,CB,74,35,56,53,75,26
Lassana Coulibaly,Salernitana,CDM,74,58,67,72,74,55
Nicolas Cozza,VfL Wolfsburg,LB,74,41,61,70,75,39
Andrés Cubas,Whitecaps FC,CDM,74,50,66,64,73,43
Carlos Cuesta,KRC Genk,CB,74,28,52,58,73,21
Bernardo Cuesta,FBC Melgar,ST,74,80,55,53,28,84
Christian Cueva,Alianza Lima,CAM,74,69,73,74,41,70
Rafael Czichos,Chicago Fire FC,CB,74,47,59,57,74,42
Danny da Costa,1. FSV Mainz 05,RWB,74,56,65,71,71,51
Pablo De Blasis,Gimnasia,CAM,74,72,75,75,64,73
Julien De Sart,KAA Gent,CM,74,72,76,67,72,66
Murilo,Gil Vicente,RM,74,69,66,78,25,68
Amad Diallo,Manchester Utd,RW,74,71,63,79,25,73
Bebé,Rayo Vallecano,LM,74,78,71,77,41,74
Leandro Díaz,Lanús,ST,74,74,63,68,27,79
Sinaly Diomandé,OL,CB,74,46,61,52,73,39
Andy Diouf,RC Lens,CM,74,66,69,78,66,63
Tasos Douvikas,RC Celta,ST,74,72,62,73,34,75
Anders Dreyer,RSC Anderlecht,RW,74,73,70,74,36,71
Óscar Duarte,Al Wehda,CB,74,47,54,49,75,48
Léo Dubois,Başakşehir,RB,74,58,73,71,73,51
Ondrej Duda,Hellas Verona,CM,74,72,73,79,61,70
Alfred Duncan,Fiorentina,CM,74,64,72,73,76,50
Hugo Duro,Valencia CF,ST,74,74,65,72,44,74
Tyronne Ebuehi,Empoli,RB,74,51,60,74,69,48
Rodrigo Echeverría,Huracán,CB,74,65,66,68,74,66
John Egan,Sheffield Utd,CB,74,46,54,55,73,43
Magnus Wolff Eikrem,Molde FK,CAM,74,71,76,72,33,71
Jalil Elías,San Lorenzo,CM,74,66,72,70,68,66
Martin Erlić,Sassuolo,CB,74,34,49,49,74,29
Escudero,R. Valladolid CF,LB,74,62,72,68,74,55
Cristian Espinoza,SJ Earthquakes,RM,74,69,69,73,42,69
Maxime Estève,Montpellier,CB,74,33,52,51,74,26
Francisco Conceição,FC Porto,RW,74,62,68,84,32,63
Federico Fattori,Huracán,CDM,74,54,68,70,70,50
Kiko Femenía,Villarreal CF,RB,74,56,70,69,71,53
Leroy Fer,Alanyaspor,CDM,74,66,71,70,71,60
Lewis Ferguson,Bologna,CM,74,73,71,73,68,73
Junior Firpo,Leeds United,LB,74,62,68,71,72,62
Zian Flemming,Millwall,CAM,74,75,72,73,57,74
Thomas Foket,Stade de Reims,RB,74,57,68,70,72,50
João Talocha,Farense,LB,74,38,62,65,69,31
Dimitri Foulquier,Valencia CF,RB,74,60,64,68,73,59
Marco Friedl,SV Werder Bremen,CB,74,42,61,64,75,37
Kanya Fujimoto,Gil Vicente,CAM,74,68,72,74,52,69
Roberto Gagliardini,Monza,CDM,74,63,70,71,75,54
Raúl García,CA Osasuna,ST,74,74,62,74,25,76
Borja García,Girona FC,CM,74,70,74,76,60,71
Kike García,D. Alavés,ST,74,75,64,74,44,76
Federico Gattoni,Sevilla FC,CB,74,60,59,61,75,55
Georgios Giakoumakis,Atlanta United,ST,74,74,51,62,28,77
Leonardo Gil,Colo-Colo,CM,74,67,75,72,66,64
Óscar Gil,RCD Espanyol,RB,74,49,66,70,69,46
Ryan Giles,Luton Town,LWB,74,57,73,70,62,54
Robert Glatzel,Hamburger SV,ST,74,74,46,65,30,77
Wilfried Gnonto,Leeds United,LM,74,69,63,81,31,70
Leonardo Godoy,Estudiantes,RB,74,57,63,66,68,58
Toti Gomes,Wolves,CB,74,47,63,60,74,42
Gabriel Sara,Norwich,CM,74,74,74,75,59,72
Yeimar Gómez Andrade,Sounders FC,CB,74,33,49,56,73,28
Sergio Gómez,Manchester City,LB,74,70,75,76,69,67
Víctor Gómez,SC Braga,RB,74,51,72,71,68,40
Sergi Gómez,RCD Espanyol,CB,74,46,61,55,74,42
Maxime Gonalons,Clermont Foot 63,CDM,74,61,70,65,73,55
Mario González,LAFC,ST,74,74,64,75,22,78
Jon Gorenc Stanković,SK Sturm Graz,CDM,74,46,59,64,75,44
Lukas Görtler,FC St. Gallen,CM,74,69,76,66,57,71
Max-Alain Gradel,Gaziantep,LM,74,74,71,77,42,73
Andreaw Gravillon,Adana Demirspor,CB,74,42,48,50,74,36
Albert Guðmundsson,Genoa,ST,74,73,68,79,36,74
Ander Guevara,D. Alavés,CM,74,63,72,68,72,69
Guridi,D. Alavés,CAM,74,66,70,78,62,72
Miguel Gutiérrez,Girona FC,LB,74,53,70,74,69,51
Taylor Harwood-Bellis,Southampton,CB,74,36,60,63,74,29
Pantelis Hatzidiakos,Cagliari,CB,74,52,66,66,73,45
Lukáš Hejda,Viktoria Plzeň,CB,74,35,55,58,73,30
Thomas Henry,Hellas Verona,ST,74,74,64,63,39,76
Wesley Hoedt,Watford,CB,74,46,69,60,75,30
Lucas Höler,SC Freiburg,ST,74,74,51,61,51,77
Mason Holgate,Southampton,CB,74,43,68,62,74,37
Will Hughes,Crystal Palace,CM,74,63,77,75,68,65
Hwang Ui Jo,Norwich,ST,74,75,64,74,42,73
Jackson Irvine,FC St. Pauli,CM,74,68,70,69,72,67
Gustav Isaksen,Latium,RW,74,70,65,77,40,73
Carlos Izquierdoz,R. Sporting,CB,74,53,53,48,75,45
Armando Izzo,Monza,CB,74,33,47,63,75,19
Ryan Jack,Rangers,CM,74,66,71,72,71,60
Paul Jaeckel,Union Berlin,CB,74,33,52,39,76,25
Lucas Janson,Boca Juniors,LM,74,70,66,75,41,72
Pontus Jansson,Malmö FF,CB,74,42,54,58,73,29
Moritz Jenz,VfL Wolfsburg,CB,74,29,50,51,72,27
Ben Johnson,West Ham,RB,74,38,62,66,73,34
Jens Jønsson,AEK Athens,CDM,74,56,65,67,74,54
Joo Min Kyu,Ulsan Hyundai,ST,74,76,56,66,44,80
Zanka,Brentford,CB,74,39,58,50,74,34
Václav Jurečka,Slavia Praha,ST,74,75,66,68,49,77
Kaan Kairinen,Sparta Praha,CM,74,60,73,75,61,57
Gaël Kakuta,Amiens SC,CAM,74,72,72,78,40,70
Hassane Kamara,Udinese,LWB,74,59,67,73,67,57
Efecan Karaca,Alanyaspor,RM,74,63,71,75,44,66
Silas,VfB Stuttgart,RM,74,70,61,84,52,78
Jonjoe Kenny,Hertha Berlin,RB,74,49,64,68,73,30
Wahbi Khazri,Montpellier,ST,74,78,75,75,43,77
Jakub Kiwior,Arsenal,CB,74,37,59,59,75,29
Klauss,St. Louis CITY SC,ST,74,74,62,66,36,75
Mateusz Klich,D.C. United,CM,74,71,74,73,66,72
Jan Kopic,Viktoria Plzeň,RM,74,71,72,76,36,68
Rominigue Kouamé,Cádiz CF,CM,74,56,69,74,70,49
Dimitrios Kourbelis,Trabzonspor,CDM,74,52,64,64,72,45
Tom Krauß,1. FSV Mainz 05,CDM,74,66,66,73,71,61
Jens Stryger Larsen,Trabzonspor,RB,74,60,70,72,69,58
Jordan Larsson,F.C. København,RW,74,72,70,74,34,72
Vincent Le Goff,FC Lorient,LB,74,60,67,68,71,58
Mathew Leckie,Melbourne City,LM,74,68,68,74,63,68
Lekue,Athletic Club,RB,74,62,68,70,69,64
Moisés,Shandong Taishan,CAM,74,74,73,73,71,73
Karol Linetty,Torino,CM,74,63,71,74,72,64
Tino Livramento,Newcastle Utd,RB,74,47,65,74,71,47
Tom Lockyer,Luton Town,CB,74,36,54,55,74,38
Lisandro López,Al Khaleej,CB,74,52,49,59,75,50
Unai López,Rayo Vallecano,CDM,74,70,77,72,67,71
Jhon Lucumí,Bologna,CB,74,28,59,58,73,23
Sebastiano Luperto,Empoli,CB,74,58,62,58,76,51
Ian Maatsen,Chelsea,LB,74,58,68,75,68,56
Kevin Mac Allister,R. Union St.-G.,CB,74,55,60,70,74,54
Daizen Maeda,Celtic,LW,74,72,64,74,47,72
Hörður Magnússon,Panathinaikos,CB,74,50,68,61,75,45
Adam Maher,Damac FC,CDM,74,70,73,72,70,66
Tiago Silva,Vitória SC,CM,74,77,75,76,64,74
Linton Maina,1. FC Köln,LM,74,62,68,76,29,67
Patrick Mainka,Heidenheim,CB,74,40,51,45,76,33
Daniel Mancini,Panathinaikos,RW,74,69,70,77,59,69
Ryan Manning,Southampton,LWB,74,60,73,74,68,58
Benson Manuel,Burnley,RM,74,70,69,79,35,67
Iván Marcone,Independiente,CDM,74,62,71,67,72,57
Adrián Marín,SC Braga,LB,74,48,66,68,69,43
Eric Martel,1. FC Köln,CDM,74,51,60,69,75,50
Iván Martín,Girona FC,CM,74,71,74,79,59,75
José Andrés Martínez,Philadelphia,CDM,74,43,60,70,74,45
David Martínez,River Plate,CB,74,54,69,64,72,43
Bruno Martins Indi,AZ,CB,74,42,58,54,76,38
Lukáš Masopust,Slavia Praha,RM,74,66,69,75,68,65
Neal Maupay,Brentford,ST,74,76,67,66,41,76
Borja Mayoral,Getafe CF,ST,74,74,67,73,38,75
Mark McKenzie,KRC Genk,CB,74,36,50,59,73,37
Nico Melamed,RCD Espanyol,CAM,74,66,75,75,40,66
Melero,UD Almería,CM,74,75,73,70,70,75
Lorenzo Melgarejo,Libertad,ST,74,72,65,77,56,73
Eugenio Mena,Uni. Católica,LB,74,52,69,69,70,45
Fran Mérida,Tianjin JMT FC,CM,74,72,77,71,67,69
Bautista Merlini,Libertad,LM,74,66,68,76,41,70
Max Meyer,FC Luzern,CAM,74,67,76,74,63,70
Fredrik Midtsjø,Pendikspor,CM,74,63,73,70,72,58
Georges Mikautadze,Ajax,ST,74,76,70,78,37,78
Takumi Minamino,AS Monaco,LM,74,73,69,78,38,74
Mingueza,RC Celta,RB,74,35,65,59,72,22
Leonel Miranda,Racing Club,CM,74,67,75,74,67,64
Josip Mišić,Dinamo Zagreb,CDM,74,69,77,62,68,63
Virgil Misidjan,Al Tai,LM,74,70,66,78,31,68
Stefan Mitrović,Getafe CF,CB,74,34,54,51,74,22
Maximilian Mittelstädt,VfB Stuttgart,LWB,74,61,67,73,70,56
Jakub Moder,Brighton,CM,74,70,74,72,69,66
Mostafa Mohamed,FC Nantes,ST,74,74,57,69,37,74
Stoichkov,SD Eibar,LM,74,76,69,76,46,79
Emre Mor,Fenerbahçe,RW,74,65,66,86,38,63
Leonardo Morales,Gimnasia,CB,74,33,53,59,76,32
Lewis Morgan,Red Bulls,LM,74,72,69,73,63,75
Nikola Moro,Bologna,CDM,74,70,73,73,69,64
Dany Mota,Monza,ST,74,73,66,77,31,76
Aihen Muñoz,Real Sociedad,LB,74,54,69,78,72,51
Alex Muñoz,Levante UD,LB,74,68,64,66,70,62
Petar Musa,SL Benfica,ST,74,73,62,69,39,74
Yunus Musah,Milan,CM,74,68,71,78,69,66
Knowledge Musona,Al Riyadh,CAM,74,72,73,72,42,74
Phillipp Mwene,1. FSV Mainz 05,RB,74,50,66,74,68,54
Na Sang Ho,FC Seoul,RM,74,72,64,76,36,74
Darlington Nagbe,Columbus Crew,CM,74,67,71,76,63,63
Marvelous Nakamba,Luton Town,CDM,74,49,62,70,74,36
Khaled Narey,Al Khaleej,RW,74,68,68,75,62,70
Iliman Ndiaye,OM,ST,74,74,64,81,37,76
Reiss Nelson,Arsenal,RW,74,66,69,79,36,69
Neto Borges,Clermont Foot 63,LWB,74,50,65,73,69,48
Carlos Neva,Granada CF,LB,74,52,62,70,71,48
Arnaud Nordin,Montpellier,RM,74,70,70,76,37,72
Oliver Norwood,Sheffield Utd,CDM,74,66,77,62,68,59
Luís Neto,Sporting CP,CB,74,37,54,48,77,33
Gerzino Nyamsi,Strasbourg,CB,74,33,51,52,74,24
Armando Obispo,PSV,CB,74,42,60,62,72,35
Vadis Odjidja-Ofoe,Hajduk Split,CM,74,69,75,74,68,64
Masaya Okugawa,FC Augsburg,LM,74,65,69,77,43,69
Kristoffer Olsson,FC Midtjylland,CM,74,64,74,74,68,64
Jean Onana,Beşiktaş,CM,74,66,70,73,71,61
Henry Onyekuru,Al Fayha,LW,74,70,63,76,35,70
Ivan Ordets,VfL Bochum,CB,74,53,49,38,75,46
Bright Osayi-Samuel,Fenerbahçe,RB,74,58,62,81,66,58
Adam Ounas,LOSC Lille,RM,74,66,70,80,44,64
Reece Oxford,FC Augsburg,CB,74,33,54,59,75,23
Willian Pacho,Frankfurt,CB,74,32,56,52,73,30
Agustín Palavecino,River Plate,CM,74,72,74,78,62,68
Filip Panák,Sparta Praha,CB,74,53,66,71,74,51
Marcus Holmgren Pedersen,Sassuolo,RB,74,49,68,74,66,48
Luca Pellegrini,Latium,LB,74,54,66,76,71,46
David Costa,RC Lens,LW,74,68,67,82,33,69
Danilo,Rangers,ST,74,74,61,72,25,79
Jeffinho,OL,LW,74,55,66,84,35,61
Guga Rodrigues,Rio Ave FC,CM,74,66,75,72,66,60
Joaquín Pereyra,Atlético Tucumán,CM,74,67,75,73,63,62
Patric Pfeiffer,FC Augsburg,CB,74,35,47,57,74,30
Maximilian Philipp,SC Freiburg,CF,74,75,69,78,42,73
Amos Pieper,SV Werder Bremen,CB,74,32,52,46,77,27
Andrea Pinamonti,Sassuolo,ST,74,76,53,70,27,76
Tozé,Al Hazem,CM,74,76,76,77,54,74
Joël Piroe,Leeds United,ST,74,76,62,67,29,77
Joel Pohjanpalo,Venezia,ST,74,75,62,70,37,76
Marin Pongračić,Lecce,CB,74,26,52,63,73,21
Denys Popov,Dynamo Kyiv,CB,74,38,48,56,74,38
Alexander Prass,SK Sturm Graz,CM,74,65,73,74,69,59
Carlos Quintana,Rosario Central,CB,74,37,48,45,75,36
Romell Quioto,CF Montréal,ST,74,73,69,73,22,75
Aaron Ramsey,Cardiff City,CM,74,68,77,76,65,61
Fabian Reese,Hertha Berlin,LM,74,68,69,73,45,66
Ludovit Reis,Hamburger SV,CM,74,63,70,78,67,65
Elvis Rexhbeçaj,FC Augsburg,CM,74,66,71,75,68,59
Chris Richards,Crystal Palace,CB,74,27,58,47,74,23
Fabian Rieder,Stade Rennais FC,CAM,74,69,71,74,51,70
Jaïro Riedewald,Crystal Palace,CDM,74,56,74,66,73,51
Stefan Ristovski,Dinamo Zagreb,RB,74,61,66,66,71,57
Joe Rodon,Leeds United,CB,74,32,51,53,75,23
Luis Miguel Rodríguez,Central Córdoba,ST,74,77,75,78,43,76
Jorge Rodríguez,Estudiantes,CDM,74,61,62,67,73,61
Puertas,Granada CF,RM,74,72,71,73,43,72
Monchu,R. Valladolid CF,CM,74,70,73,71,67,69
Robert Rojas,Tigre,RB,74,56,64,63,73,53
Anthony Rouault,VfB Stuttgart,CB,74,30,60,45,75,25
Albert Rusnák,Sounders FC,CAM,74,72,73,73,52,70
Michal Sadílek,FC Twente,CDM,74,61,70,71,71,57
Lukáš Sadílek,Sparta Praha,CM,74,63,73,72,68,63
Wesley Saïd,RC Lens,ST,74,74,67,76,30,76
Samu Sáiz,Sivasspor,CAM,74,73,73,76,31,72
Albert Sambi Lokonga,Luton Town,CDM,74,58,74,77,68,53
Jorge Sánchez,FC Porto,RB,74,50,63,71,70,44
Germán,R. Racing Club,CB,74,40,57,51,76,40
Manu Sánchez,RC Celta,LB,74,44,62,67,72,42
Ilie Sánchez,LAFC,CDM,74,49,67,64,69,45
Curro Sánchez,Burgos CF,RM,74,73,72,75,42,76
Agustín Sant'Anna,Defensa,RB,74,59,70,72,73,58
Daniel Bragança,Sporting CP,CM,74,65,75,77,64,65
Malang Sarr,Chelsea,CB,74,52,69,62,75,53
Jefferson Savarino,Real Salt Lake,RM,74,71,67,78,37,70
Amir Sâyoud,Al Raed,RM,74,71,73,78,32,72
Joe Scally,M'gladbach,RB,74,43,63,71,71,43
Benno Schmitz,1. FC Köln,RB,74,50,71,68,75,35
Rob Schoofs,KV Mechelen,CM,74,69,73,72,66,66
Ivan Schranz,Slavia Praha,LM,74,74,67,71,63,74
Richard Schunke,Independiente DV,CB,74,34,53,41,73,31
Stefan Schwab,PAOK FC,CM,74,71,75,72,70,72
Faïz Selemani,Al Hazem,LM,74,73,71,78,56,74
Lawrence Shankland,Hearts,ST,74,77,62,69,28,80
Moses Simon,FC Nantes,LM,74,68,68,77,33,66
Manolis Siopis,Cardiff City,CDM,74,45,64,67,74,36
Ibrahima Sissoko,Strasbourg,CM,74,60,70,72,72,53
Robert Skov,TSG Hoffenheim,RWB,74,77,76,74,66,72
Adam Smith,AFC Bournemouth,RB,74,60,70,68,73,52
Josué,Legia Warszawa,CAM,74,72,78,74,52,72
Rubén Sobrino,Cádiz CF,LM,74,74,71,79,37,75
Ramón Sosa,Talleres,LM,74,66,68,78,49,69
Brenner,Udinese,ST,74,71,64,77,32,75
Djed Spence,Leeds United,RB,74,43,61,77,68,38
Jens Stage,SV Werder Bremen,CM,74,65,70,70,72,65
Benjamin Stambouli,Adana Demirspor,CDM,74,58,66,69,71,56
Carl Starfelt,RC Celta,CB,74,31,53,68,74,25
Niklas Stark,SV Werder Bremen,CB,74,50,62,65,74,45
Jack Stephens,Southampton,CB,74,42,61,67,75,36
Petar Stojanović,Sampdoria,RB,74,51,70,72,69,41
Luka Sučić,RB Salzburg,CAM,74,73,74,76,49,71
Kamaldeen Sulemana,Southampton,LW,74,69,66,79,28,71
Karol Świderski,Charlotte FC,ST,74,74,62,69,32,78
John Swift,West Brom,CAM,74,74,74,75,58,72
Montassar Talbi,FC Lorient,CB,74,30,42,48,75,23
Adrien Tameze,Torino,CM,74,64,68,78,74,63
Japhet Tanganga,FC Augsburg,RB,74,33,63,72,75,28
Nathan Tella,Leverkusen,RW,74,69,65,77,33,74
Simon Terodde,FC Schalke 04,ST,74,76,55,64,38,78
Morten Thorsby,Genoa,CM,74,63,70,71,75,62
Guus Til,PSV,CAM,74,73,70,72,61,77
Malik Tillman,PSV,CAM,74,68,67,79,59,70
Quinten Timber,Feyenoord,CM,74,61,70,77,69,58
Marcel Tisserand,Ettifaq FC,CB,74,58,67,64,73,55
Dorukhan Toköz,Adana Demirspor,CM,74,68,71,74,74,63
Hassan Tombakti,Al Hilal,CB,74,34,58,60,75,33
Ömer Toprak,Antalyaspor,CB,74,39,59,66,76,33
Miguel Ángel Torrén,Argentinos Jrs.,CB,74,49,65,58,74,44
