Name,Nation,Position,Overall
Jakub Kiwior,Poland,CB,74
Klauss,Brazil,ST,74
Mateusz Klich,Poland,CM,74
Jan Kopic,Czech Republic,RM,74
Rominigue Kouamé,Mali,CM,74
Dimitrios Kourbelis,Greece,CDM,74
Tom Krauß,Germany,CDM,74
Jens Stryger Larsen,Denmark,RB,74
Jordan Larsson,Sweden,RW,74
Vincent Le Goff,France,LB,74
Mathew Leckie,Australia,LM,74
Lekue,Spain,RB,74
Moisés,Brazil,CAM,74
Karol Linetty,Poland,CM,74
Tino Livramento,England,RB,74
Tom Lockyer,Wales,CB,74
Lisandro López,Argentina,CB,74
Unai López,Spain,CDM,74
Jhon Lucumí,Colombia,CB,74
Sebastiano Luperto,Italy,CB,74
Ian Maatsen,Holland,LB,74
Kevin Mac Allister,Argentina,CB,74
Daizen Maeda,Japan,LW,74
Hörður Magnússon,Iceland,CB,74
Adam Maher,Holland,CDM,74
Tiago Silva,Portugal,CM,74
Linton Maina,Germany,LM,74
Patrick Mainka,Germany,CB,74
Daniel Mancini,Argentina,RW,74
Ryan Manning,Republic of Ireland,LWB,74
Benson Manuel,Belgium,RM,74
Iván Marcone,Argentina,CDM,74
Adrián Marín,Spain,LB,74
Eric Martel,Germany,CDM,74
Iván Martín,Spain,CM,74
José Andrés Martínez,Venezuela,CDM,74
David Martínez,Paraguay,CB,74
Bruno Martins Indi,Holland,CB,74
Lukáš Masopust,Czech Republic,RM,74
Neal Maupay,France,ST,74
Borja Mayoral,Spain,ST,74
Mark McKenzie,United States,CB,74
Nico Melamed,Spain,CAM,74
Melero,Spain,CM,74
Lorenzo Melgarejo,Paraguay,ST,74
Eugenio Mena,Chile,LB,74
Fran Mérida,Spain,CM,74
Bautista Merlini,Argentina,LM,74
Max Meyer,Germany,CAM,74
Fredrik Midtsjø,Norway,CM,74
Georges Mikautadze,Georgia,ST,74
Takumi Minamino,Japan,LM,74
Mingueza,Spain,RB,74
Leonel Miranda,Argentina,CM,74
Josip Mišić,Croatia,CDM,74
Virgil Misidjan,Holland,LM,74
Stefan Mitrović,Serbia,CB,74
Maximilian Mittelstädt,Germany,LWB,74
Jakub Moder,Poland,CM,74
Mostafa Mohamed,Egypt,ST,74
Stoichkov,Spain,LM,74
Emre Mor,Turkey,RW,74
Leonardo Morales,Argentina,CB,74
Lewis Morgan,Scotland,LM,74
Nikola Moro,Croatia,CDM,74
Dany Mota,Portugal,ST,74
Aihen Muñoz,Spain,LB,74
Alex Muñoz,Spain,LB,74
Petar Musa,Croatia,ST,74
Yunus Musah,United States,CM,74
Knowledge Musona,Zimbabwe,CAM,74
Phillipp Mwene,Austria,RB,74
Na Sang Ho,Korea Republic,RM,74
Darlington Nagbe,United States,CM,74
Marvelous Nakamba,Zimbabwe,CDM,74
Khaled Narey,Germany,RW,74
Iliman Ndiaye,Senegal,ST,74
Reiss Nelson,England,RW,74
Neto Borges,Brazil,LWB,74
Carlos Neva,Spain,LB,74
Arnaud Nordin,France,RM,74
Oliver Norwood,Northern Ireland,CDM,74
Luís Neto,Portugal,CB,74
Gerzino Nyamsi,France,CB,74
Armando Obispo,Holland,CB,74
Vadis Odjidja-Ofoe,Belgium,CM,74
Masaya Okugawa,Japan,LM,74
Kristoffer Olsson,Sweden,CM,74
Jean Onana,Cameroon,CM,74
Henry Onyekuru,Nigeria,LW,74
Ivan Ordets,Ukraine,CB,74
Bright Osayi-Samuel,Nigeria,RB,74
Adam Ounas,Algeria,RM,74
Reece Oxford,England,CB,74
Willian Pacho,Ecuador,CB,74
Agustín Palavecino,Argentina,CM,74
Filip Panák,Czech Republic,CB,74
Marcus Holmgren Pedersen,Norway,RB,74
Luca Pellegrini,Italy,LB,74
David Costa,Portugal,LW,74
Danilo,Brazil,ST,74
Jeffinho,Brazil,LW,74
Guga Rodrigues,Portugal,CM,74
Joaquín Pereyra,Argentina,CM,74
Patric Pfeiffer,Germany,CB,74
Maximilian Philipp,Germany,CF,74
Amos Pieper,Germany,CB,74
Andrea Pinamonti,Italy,ST,74
Tozé,Portugal,CM,74
Joël Piroe,Holland,ST,74
Joel Pohjanpalo,Finland,ST,74
Marin Pongračić,Croatia,CB,74
Denys Popov,Ukraine,CB,74
Alexander Prass,Austria,CM,74
Carlos Quintana,Argentina,CB,74
Romell Quioto,Honduras,ST,74
Aaron Ramsey,Wales,CM,74
Fabian Reese,Germany,LM,74
Ludovit Reis,Holland,CM,74
Elvis Rexhbeçaj,Kosovo,CM,74
Chris Richards,United States,CB,74
Fabian Rieder,Switzerland,CAM,74
Jaïro Riedewald,Holland,CDM,74
Stefan Ristovski,North Macedonia,RB,74
Joe Rodon,Wales,CB,74
Luis Miguel Rodríguez,Argentina,ST,74
Jorge Rodríguez,Argentina,CDM,74
Puertas,Spain,RM,74
Monchu,Spain,CM,74
Robert Rojas,Paraguay,RB,74
Anthony Rouault,France,CB,74
Albert Rusnák,Slovakia,CAM,74
Michal Sadílek,Czech Republic,CDM,74
Lukáš Sadílek,Czech Republic,CM,74
Wesley Saïd,France,ST,74
Samu Sáiz,Spain,CAM,74
Albert Sambi Lokonga,Belgium,CDM,74
Jorge Sánchez,Mexico,RB,74
Germán,Spain,CB,74
Manu Sánchez,Spain,LB,74
Ilie Sánchez,Spain,CDM,74
Curro Sánchez,Spain,RM,74
Agustín Sant'Anna,Uruguay,RB,74
Daniel Bragança,Portugal,CM,74
Malang Sarr,France,CB,74
Jefferson Savarino,Venezuela,RM,74
Amir Sâyoud,Algeria,RM,74
Joe Scally,United States,RB,74
Benno Schmitz,Germany,RB,74
Rob Schoofs,Belgium,CM,74
Ivan Schranz,Slovakia,LM,74
Richard Schunke,Argentina,CB,74
Stefan Schwab,Austria,CM,74
Faïz Selemani,Comoros,LM,74
Lawrence Shankland,Scotland,ST,74
Moses Simon,Nigeria,LM,74
Manolis Siopis,Greece,CDM,74
Ibrahima Sissoko,France,CM,74
Robert Skov,Denmark,RWB,74
Adam Smith,England,RB,74
Josué,Portugal,CAM,74
Rubén Sobrino,Spain,LM,74
Ramón Sosa,Paraguay,LM,74
Brenner,Brazil,ST,74
Djed Spence,England,RB,74
Jens Stage,Denmark,CM,74
Benjamin Stambouli,France,CDM,74
Carl Starfelt,Sweden,CB,74
Niklas Stark,Germany,CB,74
Jack Stephens,England,CB,74
Petar Stojanović,Slovenia,RB,74
Luka Sučić,Croatia,CAM,74
Kamaldeen Sulemana,Ghana,LW,74
Karol Świderski,Poland,ST,74
John Swift,England,CAM,74
Montassar Talbi,Tunisia,CB,74
Adrien Tameze,France,CM,74
Japhet Tanganga,England,RB,74
Nathan Tella,England,RW,74
Simon Terodde,Germany,ST,74
Morten Thorsby,Norway,CM,74
Guus Til,Holland,CAM,74
Malik Tillman,United States,CAM,74
Quinten Timber,Holland,CM,74
Marcel Tisserand,Congo DR,CB,74
Dorukhan Toköz,Turkey,CM,74
Hassan Tombakti,Saudi Arabia,CB,74
Ömer Toprak,Turkey,CB,74
Miguel Ángel Torrén,Argentina,CB,74
Jordan Torunarigha,Germany,CB,74
Lassina Traoré,Burkina Faso,ST,74
Salih Uçan,Turkey,CM,74
Mikael Uhre,Denmark,ST,74
Bruno Valdez,Paraguay,CB,74
Vallejo,Spain,CB,74
Dante Vanzeir,Belgium,ST,74
Ruben Vargas,Switzerland,LM,74
Emiliano Vecchio,Argentina,CAM,74
Lars Veldwijk,South Africa,ST,74
Unai Vencedor,Spain,CM,74
Simone Verdi,Italy,CF,74
Jannik Vestergaard,Denmark,CB,74
Toni Villa,Spain,LM,74
Luca Waldschmidt,Germany,CF,74
Marvin Wanitzek,Germany,CM,74
Victor Wanyama,Kenya,CDM,74
Joel Ward,England,RB,74
Timothy Weah,United States,RM,74
Ben Whiteman,England,CDM,74
Harry Winks,England,CDM,74
Joe Worrall,England,CB,74
Haji Wright,United States,ST,74
Rıdvan Yılmaz,Turkey,LB,74
Yoon Bit Garam,Korea Republic,CM,74
Zaydou Youssouf,France,CM,74
Kristoffer Zachariassen,Norway,CAM,74
Dan-Axel Zagadou,France,CB,74
Warren Zaïre-Emery,France,CM,74
Rodrigo Zalazar,Uruguay,CM,74
Zaldúa,Spain,RB,74
Carlos Zambrano,Peru,CB,74
Anass Zaroury,Morocco,LM,74
Akim Zedadka,Algeria,RB,74
Jaroslav Zelený,Czech Republic,LWB,74
Cédric Zesiger,Switzerland,CB,74
Philip Zinckernagel,Denmark,CAM,74
Robert Žulj,Austria,CAM,74
Fernando Zuqui,Argentina,CM,74
Szymon Żurkowski,Poland,CM,74
Max Aarons,England,RB,73
Mehdi Abeid,Algeria,CDM,73
Frank Acheampong,Ghana,ST,73
Arijan Ademi,North Macedonia,CM,73
Simon Adingra,Côte d'Ivoire,LM,73
Yacine Adli,France,CAM,73
Jean-Eudes Aholou,Côte d'Ivoire,CM,73
Ola Aina,Nigeria,LB,73
Aketxe,Spain,CAM,73
Carlos Alcaraz,Argentina,CAM,73
Ezgjan Alioski,North Macedonia,LB,73
Nani,Portugal,LW,73
Cédric,Portugal,RB,73
Jair Amador,Portugal,CB,73
Kelvin Amian,France,RWB,73
Jaidon Anthony,England,LM,73
Domagoj Antolić,Croatia,CM,73
Christopher Antwi-Adjei,Ghana,LM,73
Dennis Appiah,France,RB,73
Arbilla,Spain,CB,73
Cameron Archer,England,ST,73
Joe Aribo,Nigeria,CM,73
Stuart Armstrong,Scotland,CM,73
Gerardo Arteaga,Mexico,LB,73
Youcef Atal,Algeria,RB,73
Omer Atzili,Israel,RM,73
Tommaso Augello,Italy,LB,73
Luke Ayling,England,RB,73
Serdar Aziz,Turkey,CB,73
Talles Magno,Brazil,CF,73
Michel Ange Balikwisha,Belgium,LM,73
Filippo Bandinelli,Italy,CM,73
David Barbona,Argentina,CAM,73
Borna Barišić,Croatia,LB,73
Pablo Barrios,Spain,CM,73
Chris Basham,England,CB,73
Maximilian Bauer,Germany,CB,73
Timo Baumgartl,Germany,CB,73
Raoul Bellanova,Italy,RWB,73
Gastón Benavídez,Argentina,RB,73
Andrea Bertolacci,Italy,CM,73
Bruno Bianchi,Argentina,CB,73
Mads Bidstrup,Denmark,CDM,73
Bigas,Spain,CB,73
Leonardo Bittencourt,Germany,CAM,73
Sebastián Blanco,Argentina,CAM,73
Antonio Blanco,Spain,CDM,73
Myron Boadu,Holland,ST,73
Jayden Bogle,England,RWB,73
Mauro Boselli,Argentina,ST,73
Eric Botteghin,Brazil,CB,73
Mohamed Bouldini,Morocco,ST,73
Umut Bozok,Turkey,ST,73
Gaston Brugman,Uruguay,CM,73
Cédric Brunner,Switzerland,RB,73
Matteo Brunori,Italy,ST,73
Guido Burgstaller,Austria,ST,73
Nahuel Bustos,Argentina,ST,73
Jimmy Cabot,France,RWB,73
Javier Cabrera,Uruguay,RM,73
Juan José Cáceres,Paraguay,RB,73
Mathieu Cafaro,France,LM,73
Jens-Lys Cajuste,Sweden,CDM,73
Néstor Camacho,Paraguay,CF,73
Mohamed Ali Camara,Guinea,CB,73
Jorman Campuzano,Colombia,CDM,73
Matteo Cancellieri,Italy,RW,73
Mateo Carabajal,Argentina,CB,73
Johan Carbonero,Colombia,LW,73
Carlos Mané,Guinea-Bissau,LM,73
Jean-Charles Castelletto,Cameroon,CB,73
Castro,Portugal,CM,73
Alessio Castro-Montes,Belgium,LM,73
Daniel Cataño,Colombia,CAM,73
Martín Cauteruccio,Uruguay,ST,73
Álex Centelles,Spain,LB,73
Fabien Centonze,France,RB,73
Nacer Chadli,Belgium,LM,73
Farouk Chafaï,Algeria,CB,73
Farès Chaïbi,Algeria,LW,73
Ilias Chair,Morocco,CAM,73
Brendan Chardonnet,France,CB,73
Denis Cheryshev,Russia,LM,73
Tomáš Chorý,Czech Republic,ST,73
Tolga Ciğerci,Turkey,CDM,73
Jack Clarke,England,LM,73
Clerc,Spain,LWB,73
Nazareno Colombo,Argentina,CB,73
Enzo Copetti,Argentina,ST,73
Jack Cork,England,CDM,73
Andreas Cornelius,Denmark,ST,73
Corpas,Spain,RM,73
Pejiño,Spain,RM,73
Diogo Gonçalves,Portugal,RW,73
João Victor,Brazil,CB,73
Oday Dabbagh,Palestine,ST,73
Colin Dagba,France,RB,73
Stuart Dallas,Northern Ireland,CM,73
Flavius Daniliuc,Austria,CB,73
Josh Dasilva,England,CM,73
Ben Davies,England,CB,73
Paweł Dawidowicz,Poland,CB,73
Maxim De Cuyper,Belgium,LB,73
Aderllan Santos,Brazil,CB,73
Luca de la Torre,United States,LM,73
Gregore,Brazil,CDM,73
Lorenzo De Silvestri,Italy,RB,73
Felipe Silva,Brazil,ST,73
Alexsandro Ribeiro,Brazil,CB,73
Amar Dedić,Bosnia and Herzegovina,RB,73
Grégoire Defrel,France,CF,73
Romain Del Castillo,France,RW,73
Rafael Delgado,Argentina,LWB,73
Stefano Denswil,Suriname,CB,73
Mikkel Desler,Denmark,RB,73
Marcelo Díaz,Chile,CDM,73
Lautaro Díaz,Argentina,ST,73
Bamba Dieng,Senegal,ST,73
Javairô Dilrosun,Holland,RW,73
Moussa Djenepo,Mali,LW,73
Koffi Djidji,Côte d'Ivoire,CB,73
Lucas Piazón,Brazil,CF,73
Jean-Luc Dompé,France,LW,73
Fernando,Brazil,ST,73
David Douděra,Czech Republic,RM,73
Shane Duffy,Republic of Ireland,CB,73
Paul Dummett,Wales,CB,73
Filip Đuričić,Serbia,CAM,73
Serdar Dursun,Turkey,ST,73
Carel Eiting,Holland,CM,73
Albin Ekdal,Sweden,CDM,73
Hjalmar Ekdal,Sweden,CB,73
Jurgen Ekkelenkamp,Holland,CAM,73
Omar Elabdellaoui,Norway,RB,73
Anthony Elanga,Sweden,RW,73
Meschack Elia,Congo DR,ST,73
Niclas Eliasson,Sweden,RM,73
Jack Elliott,England,CB,73
Mohamed Elyounoussi,Norway,LW,73
Björn Engels,Belgium,CB,73
Bernardo Espinosa,Colombia,CB,73
Håkon Evjen,Norway,RW,73
Abdessamad Ezzalzouli,Morocco,LW,73
Marouane Fellaini,Belgium,CM,73
Evan Ferguson,Republic of Ireland,ST,73
Edimilson Fernandes,Switzerland,CB,73
Ezequiel Fernández,Argentina,CDM,73
Valery,Spain,RM,73
Carlos Fernández,Spain,ST,73
Frederico Venâncio,Portugal,CB,73
Miguel Maga,Portugal,RWB,73
Philipp Förster,Germany,CAM,73
Francés,Spain,CB,73
Ryan Fraser,Scotland,RW,73
Ryan Fredericks,England,RB,73
Dael Fry,England,CB,73
Chris Führich,Germany,CAM,73
Francisco Fydriszewski,Argentina,ST,73
Matteo Gabbia,Italy,CB,73
Fernando Gaibor,Ecuador,CM,73
Enric Gallego,Spain,ST,73
Ignatius Ganago,Cameroon,ST,73
Facundo Garcés,Argentina,CB,73
Ali Gholizadeh,Iran,RM,73
Jakob Glesnes,Norway,CB,73
Saviour Godwin,Nigeria,LW,73
Elías Gómez,Argentina,LB,73
Jonatan Gómez,Argentina,CM,73
Fábio Abreu,Angola,ST,73
Zeca,Greece,CDM,73
Francisco González Metilli,Argentina,CAM,73
Lucas Gourna,France,CDM,73
Alex Grant,Australia,CB,73
Julian Gressel,United States,RM,73
Matt Grimes,England,CM,73
Kamil Grosicki,Poland,LM,73
Carlos Gruezo,Ecuador,CDM,73
Gabriel Gudmundsson,Sweden,LB,73
Jóhann Berg Guðmundsson,Iceland,CAM,73
Paolo Guerrero,Peru,ST,73
Manuel Gulde,Germany,CB,73
Gumbau,Spain,CM,73
Samuel Gustafson,Sweden,CDM,73
Ianis Hagi,Romania,CAM,73
Haris Hajradinović,Bosnia and Herzegovina,CM,73
Sead Hakšabanović,Montenegro,LW,73
Grant Hanley,Scotland,CB,73
Ridgeciano Haps,Suriname,LWB,73
Makoto Hasebe,Japan,CB,73
Gabriel Hauche,Argentina,RW,73
Rhys Healey,England,ST,73
Silvan Hefti,Switzerland,RWB,73
Jack Hendry,Scotland,CB,73
Christophe Hérelle,France,CB,73
Junior Hernández,Colombia,LB,73
Mees Hilgers,Holland,CB,73
Casper Højer,Denmark,LWB,73
Fabian Holland,Germany,LWB,73
Hong Hyeon Seok,Korea Republic,CAM,73
Osmar,Spain,CB,73
Andrés Ibargüen,Colombia,LM,73
Roberto Insigne,Italy,RW,73
Mikael Ishak,Sweden,ST,73
Cedric Itten,Switzerland,ST,73
Alireza Jahanbakhsh,Iran,RW,73
Ismail Jakobs,Senegal,LB,73
Jakub Jankto,Czech Republic,LM,73
Tin Jedvaj,Croatia,CB,73
Václav Jemelka,Czech Republic,CB,73
Isaiah Jones,England,RWB,73
João Pedro,Brazil,ST,73
David Jurásek,Czech Republic,LB,73
Issa Kaboré,Burkina Faso,RWB,73
Tino Kadewere,Zimbabwe,ST,73
Gédéon Kalulu,Congo DR,RB,73
Glen Kamara,Finland,CM,73
Ercan Kara,Austria,ST,73
Yann Karamoh,France,CF,73
Oleksandr Karavaev,Ukraine,RB,73
Atakan Karazor,Germany,CDM,73
Michał Karbownik,Poland,LB,73
Jesper Karlström,Sweden,CDM,73
Tomasz Kędziora,Poland,RB,73
Lloyd Kelly,England,CB,73
Gyrano Kerk,Holland,RM,73
Ki Sung Yueng,Korea Republic,CM,73
Kim Young Gwon,Korea Republic,CB,73
Maurits Kjaergaard,Denmark,LM,73
Jean Evrard Kouassi,Côte d'Ivoire,LW,73
Boubakar Kouyaté,Mali,CB,73
Dawid Kownacki,Poland,ST,73
Emil Krafth,Sweden,RB,73
Damir Kreilach,Croatia,ST,73
Filip Krovinović,Croatia,CAM,73
Sven Kums,Belgium,CM,73
Layvin Kurzawa,France,LB,73
Giorgi Kvilitaia,Georgia,ST,73
Giorgos Kyriakopoulos,Greece,LWB,73
Qazim Laçi,Albania,CM,73
Loïc Lapoussin,Madagascar,LM,73
Jacob Bruun Larsen,Denmark,ST,73
Jørgen Strand Larsen,Norway,ST,73
Toni Lato,Spain,LB,73
Romeo Lavia,Belgium,CDM,73
Tom Lawrence,Wales,CAM,73
Lazo,Spain,LM,73
Jérémy Le Douaron,France,ST,73
Darragh Lenihan,Republic of Ireland,CB,73
Christopher Lenz,Germany,LWB,73
Sergio León,Spain,ST,73
Johann Lepenant,France,CDM,73
Lukas Lerager,Denmark,CM,73
Rico Lewis,England,RB,73
Andrés Llinás,Colombia,CB,73
Raúl Loaiza,Colombia,CDM,73
Robin Lod,Finland,RM,73
Luciano Lollo,Argentina,CB,73
Duk,Cape Verde Islands,ST,73
Leonardo,Brazil,ST,73
Pedro Pereira,Portugal,RWB,73
Hernán López Muñoz,Argentina,CAM,73
Dion Lopy,Senegal,CDM,73
Imrân Louza,Morocco,CM,73
Anthony Lozano,Honduras,ST,73
Pol Lozano,Spain,CDM,73
Fabio Lucioni,Italy,CB,73
John Lundstram,England,CM,73
Senne Lynen,Belgium,CDM,73
Jamie Maclaren,Australia,ST,73
Giangiacomo Magnani,Italy,CB,73
Hugo Magnetti,France,CDM,73
Yohann Magnin,France,CDM,73
Josh Maja,Nigeria,ST,73
Jean-Victor Makengo,France,CM,73
Wilson Manafá,Portugal,RB,73
Marco Mancosu,Italy,CAM,73
Vasco Fernandes,Portugal,CB,73
Faitout Maouassa,France,LM,73
Lazar Marković,Serbia,LM,73
Roger Martí,Spain,ST,73
Gonzalo Martínez,Argentina,RM,73
Emiliano Martínez,Uruguay,CDM,73
Roger Martínez,Colombia,ST,73
Adrián Martínez,Argentina,ST,73
Erhan Mašović,Serbia,CB,73
Mata,Spain,ST,73
Eliot Matazo,Belgium,CDM,73
Luca Mazzitelli,Italy,CM,73
Pasquale Mazzocchi,Italy,RWB,73
Scott McKenna,Scotland,CB,73
Marvin Mehlem,Germany,CAM,73
Björn Meijer,Holland,LB,73
Soualiho Meïté,France,CM,73
Gonçalo Paciência,Portugal,ST,73
Benjamin Mendy,France,LB,73
Lucas Menossi,Argentina,CM,73
Quentin Merlin,France,LB,73
Matt Miazga,United States,CB,73
Milad Mohammadi,Iran,LB,73
Aaron Molinas,Argentina,CAM,73
Florent Mollet,France,CAM,73
Jamiro Monteiro,Cape Verde Islands,CM,73
Kieffer Moore,Wales,ST,73
Manu Morlanes,Spain,CDM,73
Jhon Mosquera,Colombia,LM,73
Fahd Moufi,Morocco,RB,73
Samuel Moutoussamy,Congo DR,CM,73
Franco Moyano,Argentina,CDM,73
Amath Ndiaye,Senegal,LM,73
Luca Netz,Germany,LB,73
Cyril Ngonge,Belgium,CF,73
Tanguy Nianzou,France,CB,73
Bart Nieuwkoop,Holland,RM,73
Fabián Noguera,Argentina,CB,73
Rúben Vezo,Portugal,CB,73
Allan-Roméo Nyom,Cameroon,CB,73
Jens Odgaard,Denmark,RW,73
David Okereke,Nigeria,ST,73
Joseph Okumu,Kenya,CB,73
Rogério,Brazil,LB,73
André Silva,Brazil,ST,73
Ohi Omoijuanfo,Norway,ST,73
Abdülkadir Ömür,Turkey,CM,73
Paul Ebere Onuachu,Nigeria,ST,73
Raphael Onyedika,Nigeria,CDM,73
Frank Onyeka,Nigeria,CDM,73
Aimar Oroz,Spain,CM,73
Richard Ortiz,Paraguay,CDM,73
Jonathan Osorio,Canada,CM,73
Leo Østigård,Norway,CB,73
Juan Ferney Otero,Colombia,RM,73
Paik Seung Ho,Korea Republic,CM,73
Leart Paqarada,Kosovo,LB,73
José Paradela,Argentina,LM,73
Martín Payero,Argentina,CM,73
Sergio Peña,Peru,CM,73
Mauricio Pereyra,Uruguay,CAM,73
Marco Pérez,Colombia,ST,73
Rafael Pérez,Colombia,CB,73
Juankar,Spain,LB,73
Luis Pérez,Spain,RB,73
Kike Pérez,Spain,CM,73
Lucas Perrin,France,CB,73
Jakub Pešek,Czech Republic,RW,73
Aleksandar Pešić,Serbia,ST,73
Giuseppe Pezzella,Italy,LB,73
Nathaniel Phillips,England,CB,73
Krzysztof Piątek,Poland,ST,73
Kamil Piątkowski,Poland,CB,73
Ronaël Pierre-Gabriel,France,RB,73
Iván Piris,Paraguay,RB,73
Francisco Pizzini,Argentina,LM,73
Óscar Plano,Spain,LM,73
Ezequiel Ponce,Argentina,ST,73
Lukáš Provod,Czech Republic,CM,73
Pulido,Spain,CB,73
Cryzan,Brazil,ST,73
Largie Ramazani,Belgium,RM,73
Gastón Ramírez,Uruguay,CAM,73
Chris Ramos,Spain,ST,73
Bart Ramselaar,Holland,CAM,73
Jacob Rasmussen,Denmark,CB,73
Federico Rasmussen,Argentina,CB,73
Tim Ream,United States,CB,73
Jeff Reine-Adélaïde,France,CM,73
Mihailo Ristić,Serbia,LB,73
Hugo Rodallega,Colombia,ST,73
Jay Rodriguez,England,ST,73
Patricio Rodríguez,Argentina,LW,73
Gabriel Rojas,Argentina,LB,73
Felipe Román,Colombia,RB,73
Braian Romero,Argentina,ST,73
Salomón Rondón,Venezuela,ST,73
Kemar Roofe,Jamaica,ST,73
Diego Rubio,Chile,ST,73
André Franco,Portugal,CAM,73
Georginio Rutter,France,CF,73
Emir Sahiti,Kosovo,RM,73
Mamadou Sakho,France,CB,73
Manolis Saliakas,Greece,RWB,73
Ulrik Saltnes,Norway,CM,73
Lazar Samardžić,Serbia,CM,73
Carlos Sánchez,Uruguay,CM,73
Iván Sánchez,Spain,RM,73
Salvi Sánchez,Spain,RM,73
Ron Schallenberg,Germany,CDM,73
Romano Schmid,Austria,CAM,73
Lasse Schøne,Denmark,CM,73
Aleksandar Sedlar,Serbia,CB,73
Davie Selke,Germany,ST,73
Ben Sheaf,England,CDM,73
Jordan Siebatcheu,United States,ST,73
Arnór Sigurðsson,Iceland,LM,73
Jadson,Brazil,CB,73
Henrique,Brazil,LB,73
Marcos Antonio,Brazil,CM,73
Santiago Simón,Argentina,RM,73
Moussa Sissoko,France,CM,73
Douglas Augusto,Brazil,CM,73
Fábio Silva,Portugal,ST,73
Eduard Sobol,Ukraine,LWB,73
Yira Sor,Nigeria,RM,73
Adama Soumaoro,France,CB,73
Arnaud Souquet,France,RB,73
Harry Souttar,Australia,CB,73
John Souttar,Scotland,CB,73
Andraž Šporar,Slovenia,ST,73
Jack Stacey,England,RB,73
Calvin Stengs,Holland,CAM,73
Angelo Stiller,Germany,CM,73
Nikola Storm,Belgium,LW,73
Kevin Strootman,Holland,CM,73
Pascal Struijk,Holland,CB,73
Matías Suárez,Argentina,ST,73
Isaac Success,Nigeria,ST,73
Crysencio Summerville,Holland,RM,73
Toni Šunjić,Bosnia and Herzegovina,CB,73
Erik Sviatchenko,Denmark,CB,73
Jan Sýkora,Czech Republic,LM,73
Issiaga Sylla,Guinea,LB,73
Charlie Taylor,England,CB,73
Terrats,Spain,CM,73
Florian Thauvin,France,RM,73
Luke Thomas,England,LB,73
Kristian Thorstvedt,Norway,CM,73
Gastón Togni,Argentina,LM,73
Jens Toornstra,Holland,CDM,73
Facundo Torres,Uruguay,RM,73
Aiyegun Tosin,Benin,ST,73
Birama Touré,Mali,CDM,73
Ismaël Traoré,Côte d'Ivoire,CB,73
Auston Trusty,United States,CB,73
David Turnbull,Scotland,CM,73
Deniz Türüç,Turkey,RM,73
Matthieu Udol,France,LB,73
Ayase Ueda,Japan,ST,73
Lesley Ugochukwu,France,CM,73
Filip Ugrinic,Switzerland,CM,73
Um Won Sang,Korea Republic,RM,73
Josha Vagnoman,Germany,RWB,73
Cote,Spain,LB,73
Bruno Wilson,Portugal,CB,73
Manu Vallejo,Spain,ST,73
Nicolai Vallys,Denmark,LW,73
Sven van Beek,Holland,CB,73
Mick van Buren,Holland,ST,73
Vito van Crooij,Holland,RM,73
Denis Vavro,Slovakia,CB,73
Brandon Vazquez,United States,ST,73
Gustavo Velázquez,Paraguay,CB,73
Miloš Veljković,Serbia,CB,73
Valerio Verre,Italy,CM,73
Yari Verschaeren,Belgium,CAM,73
Iñigo Vicente,Spain,LM,73
Diego Viera,Paraguay,CB,73
Nick Viergever,Holland,CB,73
Villalibre,Spain,ST,73
Mikel Villanueva,Venezuela,CB,73
Matías Viña,Uruguay,LB,73
Martin Vitík,Czech Republic,CB,73
Adam Vlkanova,Czech Republic,CAM,73
Aster Vranckx,Belgium,CM,73
Matěj Vydra,Czech Republic,ST,73
Neco Williams,Wales,RB,73
Maximilian Wittek,Germany,LB,73
Abdul-Aziz Yakubu,Ghana,ST,73
Yusuf Yazıcı,Turkey,CF,73
Okay Yokuşlu,Turkey,CDM,73
Maya Yoshida,Japan,CB,73
Yoshimar Yotún,Peru,CM,73
Diego Zabala,Uruguay,RW,73
Illia Zabarnyi,Ukraine,CB,73
Christos Zafeiris,Norway,CM,73
Francesco Zampano,Italy,LWB,73
Zarraga,Spain,CM,73
Exequiel Zeballos,Argentina,RM,73
David Zima,Czech Republic,CB,73
Christoph Zimmermann,Germany,CB,73
Joshua Zirkzee,Holland,ST,73
Oleksandr Zubkov,Ukraine,RM,73
Bruno Zuculini,Argentina,CDM,73
Rodrigo Abascal,Uruguay,CB,72
Himad Abdelli,Algeria,CM,72
Oliver Abildgaard,Denmark,CDM,72
Luis Abram,Peru,CB,72
Gonzalo Abrego,Argentina,CM,72
Lautaro Acosta,Argentina,CAM,72
Kellyn Acosta,United States,CM,72
Martin Ádám,Hungary,ST,72
Elijah Adebayo,England,ST,72
Ahn Hyun Beom,Korea Republic,RWB,72
José Aja,Uruguay,CB,72
Emre Akbaba,Turkey,CAM,72
Halil Akbunar,Turkey,RM,72
Yunus Akgün,Turkey,RM,72
Paul Akouokou,Côte d'Ivoire,CDM,72
Bandar Al Ahbabi,United Arab Emirates,RB,72
Ameen Al Dakhil,Belgium,CB,72
Salman Al Faraj,Saudi Arabia,CM,72
Bruno Langa,Mozambique,LB,72
Alcalá,Spain,CB,72
Danijel Aleksić,Serbia,CM,72
Bruno Costa,Portugal,CM,72
Gastón Álvarez,Uruguay,LB,72
Francisco Álvarez,Argentina,CB,72
Agustín Álvarez Martínez,Uruguay,ST,72
Steven Alzate,Colombia,CM,72
