Name,Nation,Club,Position,Age,Overall
Yan Brice Eteki,Cameroon,AD Alcorcón,CDM,26,72
Etxeita,Spain,SD Amorebieta,CB,35,72
Marcello Falzerano,Italy,Ascoli,RM,32,72
Fei Nanduo,China PR,Shandong Taishan,RM,30,72
Josan,Spain,Elche CF,RB,33,72
Gian Marco Ferrari,Italy,Sassuolo,CB,31,72
Juninho,Brazil,FC Midtjylland,CB,28,72
James Forrest,Scotland,Celtic,RW,32,72
Timothy Fosu-Mensah,Holland,Leverkusen,RWB,25,72
Mohamed Fouzair,Morocco,Al Raed,RM,31,72
Franco Fragapane,Argentina,Minnesota United,LM,30,72
Morten Frendrup,Denmark,Genoa,CDM,22,72
Fresneda,Spain,Sporting CP,RB,19,72
Ramiro Funes Mori,Argentina,River Plate,CB,32,72
Manu Fuster,Spain,Albacete BP,LM,25,72
Cristian Gamboa,Costa Rica,VfL Bochum,RB,33,72
Ulisses Garcia,Switzerland,BSC Young Boys,LB,27,72
Agustín García Basso,Argentina,Independiente DV,CB,31,72
James Garner,England,Everton,CDM,22,72
Luca Garritano,Italy,Frosinone,CAM,29,72
Valentin Gendrey,France,Lecce,RB,23,72
Valère Germain,France,Macarthur FC,ST,33,72
Dimitris Giannoulis,Greece,Norwich,LB,27,72
Billy Gilmour,Scotland,Brighton,CDM,22,72
Gastón Giménez,Paraguay,Chicago Fire FC,CDM,32,72
Paolo Goltz,Argentina,Colón,CB,38,72
João Nunes,Portugal,Casa Pia AC,CB,27,72
Alberto Grassi,Italy,Empoli,CM,28,72
Stian Gregersen,Norway,Bordeaux,CB,28,72
Marco Grüll,Austria,SK Rapid Wien,LM,25,72
Sergi Guardiola,Spain,Cádiz CF,ST,32,72
Marcelo,Brazil,WS Wanderers,CB,36,72
Morgan Guilavogui,Guinea,RC Lens,ST,25,72
Koray Günter,Germany,Hellas Verona,CB,29,72
Serdar Gürler,Turkey,Başakşehir,LM,32,72
Norbert Gyömbér,Slovakia,Salernitana,CB,31,72
Robin Hack,Germany,M'gladbach,LM,25,72
Ehsan Haji Safi,Iran,AEK Athens,LB,33,72
Genki Haraguchi,Japan,VfB Stuttgart,CAM,32,72
Abdou Harroui,Morocco,Frosinone,CDM,25,72
Marcel Hartel,Germany,FC St. Pauli,CM,27,72
Quilindschy Hartman,Holland,Feyenoord,LB,21,72
Kortney Hause,England,Aston Villa,CB,28,72
Milan Havel,Czech Republic,Viktoria Plzeň,LB,29,72
Thom Haye,Holland,sc Heerenveen,CM,28,72
Liam Henderson,Scotland,Palermo,CM,27,72
Leo Coelho,Brazil,Peñarol,CB,30,72
Abel Hernández,Uruguay,Peñarol,ST,33,72
Andrés Herrera,Argentina,River Plate,RB,24,72
George Honeyman,England,Millwall,RM,29,72
Dino Hotić,Bosnia and Herzegovina,Lech Poznań,CAM,28,72
Even Hovland,Norway,BK Häcken,CB,34,72
Branimir Hrgota,Sweden,Fürth,CAM,30,72
Jakub Hromada,Slovakia,Slavia Praha,CDM,27,72
Dominic Hyam,Scotland,Blackburn Rovers,CB,27,72
Renato Ibarra,Ecuador,LDU Quito,RM,32,72
Edgar Ié,Guinea-Bissau,Başakşehir,CB,29,72
Juan Iglesias,Spain,Getafe CF,LWB,25,72
Marco Ilaimaharitra,Madagascar,Sp. Charleroi,CDM,28,72
Tom Ince,England,Watford,RM,31,72
Juan Manuel Insaurralde,Argentina,Sarmiento,CB,39,72
Ardian Ismajli,Albania,Empoli,CB,27,72
Tomoki Iwata,Japan,Celtic,CDM,26,72
Jeong Woo Yeong,Korea Republic,VfB Stuttgart,CAM,24,72
Jiang Guangtai,China PR,Shanghai Port,CB,29,72
Erik Jirka,Slovakia,Viktoria Plzeň,RM,26,72
DeJuan Jones,United States,New England,LB,26,72
Anthony Jung,Germany,SV Werder Bremen,LWB,31,72
Julian Justvan,Germany,TSG Hoffenheim,CAM,25,72
Taras Kacharaba,Ukraine,Slavia Praha,CB,28,72
François Kamano,Guinea,Abha Club,RM,27,72
Ilan Kebbal,Algeria,Paris FC,RM,25,72
Davit Khocholava,Georgia,F.C. København,CB,30,72
Luca Kilian,Germany,1. FC Köln,CB,24,72
Emre Kılınç,Turkey,Samsunspor,RM,29,72
Sean Klaiber,Suriname,Brøndby IF,RB,29,72
Christoph Klarer,Austria,SV Darmstadt 98,CB,23,72
Ko Seung Beom,Korea Republic,Suwon Samsung,CM,29,72
Mats Köhlert,Germany,sc Heerenveen,LB,25,72
Derrick Köhn,Germany,Hannover 96,LWB,24,72
Victor Kristiansen,Denmark,Bologna,LB,20,72
Sergiy Kryvtsov,Ukraine,Inter Miami CF,CB,32,72
Fabian Kunze,Germany,Hannover 96,CDM,25,72
Jasmin Kurtić,Slovenia,Univ. Craiova,CM,34,72
Grejohn Kyei,France,Clermont Foot 63,ST,28,72
Zakaria Labyad,Morocco,FC Utrecht,CAM,30,72
Kenny Lala,France,Stade Brestois 29,RB,32,72
Didier Lamkel Zé,Cameroon,Hatayspor,ST,27,72
Luca Langoni,Argentina,Boca Juniors,RM,21,72
Rasmus Lauritsen,Denmark,Brøndby IF,CB,27,72
Valentino Lazaro,Austria,Torino,RWB,27,72
Lee Dong Jun,Korea Republic,Jeonbuk Hyundai,RM,26,72
Maxim Leitsch,Germany,1. FSV Mainz 05,CB,25,72
Mehdi Léris,Algeria,Stoke City,RM,25,72
Jamie Leweling,Germany,VfB Stuttgart,ST,22,72
Keane Lewis-Potter,England,Brentford,LW,22,72
Darío Lezcano,Paraguay,Colo-Colo,ST,33,72
Dimitri Liénard,France,SC Bastia,LWB,35,72
Lim Chai Min,Korea Republic,Jeju United,CB,32,72
Luquinhas,Brazil,Red Bulls,RM,27,72
Martin Linnes,Norway,Molde FK,RWB,32,72
Pol Lirola,Spain,Frosinone,RWB,26,72
Jürgen Locadia,Curaçao,Cangzhou FC,ST,29,72
Bradley Locko,France,Stade Brestois 29,LB,21,72
Roberto López,Spain,CD Tenerife,RM,23,72
Max Lowe,England,Sheffield Utd,LWB,26,72
Lorenzo Lucca,Italy,Udinese,ST,23,72
Abel Luciatti,Argentina,Tigre,CB,30,72
Jeison Lucumí,Colombia,Deportes Tolima,LM,28,72
Charalampos Lykogiannis,Greece,Bologna,LB,29,72
Mathieu Maertens,Belgium,OH Leuven,CF,28,72
Ainsley Maitland-Niles,England,OL,RB,26,72
Gaius Makouta,Congo,Boavista FC,CM,26,72
Youssef Maleh,Morocco,Empoli,CM,25,72
Mickaël Malsa,France,R. Valladolid CF,CDM,27,72
Dennis Man,Romania,Parma,RM,25,72
Eliaquim Mangala,France,Estoril Praia,CB,32,72
Manquillo,Spain,Newcastle Utd,RB,29,72
Mika Mármol,Spain,UD Las Palmas,CB,22,72
Jonas Martin,France,Stade Brestois 29,CDM,33,72
Federico Martínez,Uruguay,Nacional,LM,27,72
Pablo Martínez,Spain,Levante UD,CM,25,72
Nacho,Spain,CD Tenerife,LB,34,72
Adam Masina,Morocco,Udinese,LWB,29,72
Jordi Mboula,Spain,Hellas Verona,RM,24,72
Oli McBurnie,Scotland,Sheffield Utd,ST,27,72
Riley McGree,Australia,Middlesbrough,LM,24,72
Barrie McKay,Scotland,Hearts,LM,28,72
Kenny McLean,Scotland,Norwich,CDM,31,72
Paddy McNair,Northern Ireland,Middlesbrough,CB,28,72
Jakov Medić,Croatia,Ajax,CB,25,72
Alan Medina,Uruguay,Liverpool,RW,25,72
Jonas Meffert,Germany,Hamburger SV,CDM,29,72
Jubal,Brazil,AJ Auxerre,CB,30,72
Alexandre Mendy,Guinea-Bissau,SM Caen,ST,29,72
Batista Mendy,France,Trabzonspor,CDM,23,72
Xavier Mercier,France,RWD Molenbeek,CAM,34,72
Jorge Meré,Spain,Cádiz CF,CB,26,72
Merquelanz,Spain,Real Sociedad,LW,28,72
Fernando Meza,Argentina,Palestino,CB,33,72
Omenuke Mfulu,Congo DR,UD Las Palmas,CDM,29,72
Sven Michel,Germany,FC Augsburg,ST,33,72
Peter Michorl,Austria,LASK,CM,28,72
Sven Mijnans,Holland,AZ,CAM,23,72
Salvador Agra,Portugal,Boavista FC,RW,31,72
Martin Minchev,Bulgaria,Çaykur Rizespor,ST,22,72
Jorge Miramón,Spain,CD Leganés,RB,34,72
Alexandru Mitriță,Romania,Univ. Craiova,LM,28,72
Niklas Moisander,Finland,Malmö FF,CB,38,72
Thomas Monconduit,France,AS Saint-Étienne,CDM,32,72
Brian Montenegro,Paraguay,Olimpia,ST,30,72
Shaquell Moore,United States,Nashville SC,RB,26,72
Tete Morente,Spain,Elche CF,RM,26,72
Ilaix Moriba,Guinea,RB Leipzig,CM,20,72
Ryota Morioka,Japan,Sp. Charleroi,CM,32,72
Carlton Morris,England,Luton Town,ST,27,72
Jordan Morris,United States,Sounders FC,LM,28,72
Patrick Mortensen,Denmark,AGF,ST,34,72
Steve Mounié,Benin,Stade Brestois 29,ST,29,72
Toni Moya,Spain,Real Zaragoza,CM,25,72
Kerim Mrabti,Sweden,KV Mechelen,CAM,29,72
Stefan Mugoša,Montenegro,Incheon United,ST,31,72
Mert Müldür,Turkey,Fenerbahçe,RB,24,72
Facundo Mura,Argentina,Racing Club,RB,24,72
Michael Murillo,Panama,OM,RB,27,72
Nyasha Mushekwi,Zimbabwe,Zhejiang Pro,ST,36,72
Florent Muslija,Kosovo,SC Paderborn 07,CAM,25,72
Bogdan Mykhailichenko,Ukraine,Dinamo Zagreb,LB,26,72
Ádám Nagy,Hungary,Pisa,CDM,28,72
Rúben Vinagre,Portugal,Hull City,LB,24,72
Wilson Eduardo,Angola,Apoel FC,ST,33,72
Franco Negri,Argentina,Inter Miami CF,LB,28,72
Tokmac Chol Nguen,Norway,Ferencvárosi TC,CAM,29,72
Cheikh Niasse,Senegal,BSC Young Boys,CDM,23,72
Florian Niederlechner,Germany,Hertha Berlin,ST,32,72
Dimitrios Nikolaou,Greece,Spezia,CB,25,72
Joakim Nilsson,Sweden,St. Louis CITY SC,CB,29,72
Kevin Nisbet,Scotland,Millwall,ST,26,72
Vital Nsimba,Congo DR,Bordeaux,LB,30,72
Stanley Nsoki,France,TSG Hoffenheim,CB,24,72
Ernest Nuamah,Ghana,OL,RW,19,72
Bram Nuytinck,Holland,N.E.C. Nijmegen,CB,33,72
Kelechi Nwakali,Nigeria,GD Chaves,CDM,25,72
Obinna Nwobodo,Nigeria,FC Cincinnati,CDM,26,72
Lewis O'Brien,England,Middlesbrough,CM,24,72
Callum O'Hare,England,Coventry City,CAM,25,72
Dara O'Shea,Republic of Ireland,Burnley,CB,24,72
Pedro Obiang,Equatorial Guinea,Sassuolo,CDM,31,72
Brian Ocampo,Uruguay,Cádiz CF,LM,24,72
Denis Odoi,Ghana,Club Brugge,RB,35,72
Ahmet Oğuz,Turkey,Konyaspor,RB,30,72
Caleb Okoli,Italy,Frosinone,CB,22,72
Jean Mota,Brazil,Inter Miami CF,CM,29,72
Patrick Osterhage,Germany,VfL Bochum,CDM,23,72
Romulo Otero,Venezuela,Aucas,CAM,30,72
Dango Ouattara,Burkina Faso,AFC Bournemouth,RM,21,72
Rémi Oudin,France,Lecce,LM,26,72
Aiham Ousou,Sweden,BK Häcken,CB,23,72
Thomas Ouwejan,Holland,FC Schalke 04,LB,27,72
Berkay Özcan,Turkey,Başakşehir,CM,25,72
Cenk Özkacar,Turkey,Valencia CF,CB,23,72
Diego Palacios,Ecuador,LAFC,LB,24,72
Antonio Palumbo,Italy,Modena,CM,27,72
Keaton Parks,United States,New York City FC,CDM,26,72
Pablo Parra,Chile,Colo-Colo,CAM,29,72
Jamie Paterson,England,Swansea City,LW,31,72
Nathan Patterson,Scotland,Everton,RB,21,72
Esteban Pavez,Chile,Colo-Colo,CDM,33,72
Ben Pearson,England,Stoke City,CDM,28,72
Mads Pedersen,Denmark,FC Augsburg,LB,27,72
Sebastián Pedroza,Colombia,Al Okhdood,CDM,24,72
Dimitrios Pelkas,Greece,Başakşehir,CAM,29,72
Cristian Pellerano,Argentina,Independiente DV,CDM,41,72
Andy Pelmard,France,Clermont Foot 63,CB,23,72
Alberto Perea,Spain,Granada CF,LM,32,72
Federico Pereira,Uruguay,Liverpool,CB,23,72
Mathias Pereira Lage,Portugal,Stade Brestois 29,RW,26,72
Gastón Pereiro,Uruguay,Cagliari,CAM,28,72
Mario Gaspar,Spain,Elche CF,RB,32,72
Dino Perić,Croatia,Dinamo Zagreb,CB,29,72
Baldomero Perlaza,Colombia,Colón,CDM,31,72
Luděk Pernica,Czech Republic,Viktoria Plzeň,CB,33,72
Immanuel Pherai,Holland,Hamburger SV,CAM,22,72
Pablo Piatti,Argentina,Estudiantes,LM,34,72
Miguel Veloso,Portugal,Pisa,CM,37,72
Srđan Plavšić,Serbia,Raków,LM,27,72
Lukas Podolski,Germany,Górnik Zabrze,CF,38,72
Diego Polenta,Uruguay,Nacional,CB,31,72
Sebastian Polter,Germany,FC Schalke 04,ST,32,72
Julien Ponceau,France,FC Lorient,CAM,22,72
Luciano Pons,Argentina,Indep. Medellín,ST,33,72
Juan Portillo,Argentina,Talleres,LB,23,72
José Pozo,Spain,Rayo Vallecano,CAM,27,72
Álex Pozo,Spain,UD Almería,RB,24,72
Alan Pulido,Mexico,Sporting KC,ST,32,72
Mateus Quaresma,Brazil,Arouca,LB,27,72
Luquinha,Brazil,Portimonense SC,CAM,23,72
Facundo Quignon,Argentina,FC Dallas,CDM,30,72
Jordi Quintillà,Spain,FC St. Gallen,CDM,29,72
Nemanja Radoja,Serbia,Sporting KC,CM,30,72
Carlos Ramírez,Colombia,Dep. Pereira,CB,35,72
Luca Ranieri,Italy,Fiorentina,CB,24,72
Elbasan Rashani,Kosovo,Clermont Foot 63,LW,30,72
Arkadiusz Reca,Poland,Spezia,LM,28,72
Jason,Spain,Arouca,RM,29,72
Emiliano Rigoni,Argentina,Austin FC,RM,30,72
Matt Ritchie,Scotland,Newcastle Utd,LM,34,72
Jack Robinson,England,Sheffield Utd,CB,30,72
Miles Robinson,United States,Atlanta United,CB,26,72
Enzo Roco,Chile,Al Tai,CB,31,72
Angelo Rodríguez,Colombia,Dep. Pereira,ST,34,72
Santiago Rodríguez,Uruguay,New York City FC,CAM,23,72
Juan Gabriel Rodríguez,Argentina,Talleres,CB,29,72
Ángel,Spain,CD Tenerife,ST,36,72
Zaid Romero,Argentina,Estudiantes,CB,23,72
Facundo Roncaglia,Argentina,Boca Juniors,CB,36,72
Lazaros Rota,Greece,AEK Athens,RB,26,72
Johnny Russell,Scotland,Sporting KC,RW,33,72
Pablo Sabbag,Colombia,Alianza Lima,ST,26,72
Mujaid,Spain,KRC Genk,CB,23,72
Osame Sahraoui,Norway,sc Heerenveen,LM,22,72
Fashion Sakala,Zambia,Al Fayha,ST,26,72
Tatsuhiro Sakamoto,Japan,Coventry City,RWB,26,72
Dániel Sallói,Hungary,Sporting KC,LW,27,72
Yoann Salmier,France,Havre AC,CB,30,72
Mbwana Ally Samatta,Tanzania,PAOK FC,ST,30,72
San Emeterio,Spain,Cádiz CF,CM,26,72
Ulises Sanchez,Argentina,Belgrano,RM,25,72
Antonio Sánchez,Spain,RCD Mallorca,RM,26,72
Kevin Sandoval,Peru,Cienciano,CAM,26,72
Carlinhos,Brazil,Portimonense SC,CM,29,72
Ivo Rodrigues,Portugal,Al Khaleej,CAM,28,72
Josh Sargent,United States,Norwich,ST,23,72
Manprit Sarkaria,Austria,SK Sturm Graz,ST,27,72
Pape Matar Sarr,Senegal,Spurs,CM,21,72
Martín Satriano,Uruguay,Stade Brestois 29,ST,22,72
Kevin Schade,Germany,Brentford,RW,21,72
András Schäfer,Hungary,Union Berlin,CM,24,72
Louis Schaub,Austria,Hannover 96,CAM,28,72
Christopher Schindler,Germany,1. FC Nürnberg,CB,33,72
Keven Schlotterbeck,Germany,VfL Bochum,CB,26,72
Sebastian Schonlau,Germany,Hamburger SV,CB,29,72
Siebe Schrijvers,Belgium,OH Leuven,CM,27,72
Alex Scott,England,AFC Bournemouth,CM,20,72
Paul Seguin,Germany,FC Schalke 04,CM,28,72
Alidu Seidu,Ghana,Clermont Foot 63,CB,23,72
Jaime Seoane,Spain,R. Oviedo,CM,26,72
Jean Michaël Seri,Côte d'Ivoire,Hull City,CDM,32,72
Leonardo Sernicola,Italy,Cremonese,RM,26,72
Volodymyr Shepelev,Ukraine,Dynamo Kyiv,CM,26,72
Eldor Shomurodov,Uzbekistan,Cagliari,ST,28,72
Óscar Sielva,Spain,SD Huesca,CM,32,72
Carlos Sierra,Colombia,Junior,CM,33,72
Francisco Sierralta,Chile,Watford,CB,26,72
Kiliann Sildillia,France,SC Freiburg,RB,21,72
Jonathan Silva,Argentina,Albacete BP,LB,29,72
Giuliano Simeone,Argentina,D. Alavés,ST,20,72
Daley Sinkgraven,Holland,UD Las Palmas,LB,28,72
Mile Škorić,Croatia,Cangzhou FC,CB,32,72
Steven Skrzybski,Germany,Holstein Kiel,CF,30,72
Marcel Sobottka,Germany,Düsseldorf,CDM,29,72
Serginho,Brazil,Changchun Yatai,CM,29,72
Yuki Soma,Japan,Casa Pia AC,RW,26,72
José Sosa,Argentina,Estudiantes,CM,38,72
Dario Špikić,Croatia,Dinamo Zagreb,RW,24,72
Ross Stewart,Scotland,Southampton,ST,27,72
Filip Stojković,Montenegro,LASK,RB,30,72
Jordan Storey,England,Preston,CB,26,72
Stefan Strandberg,Norway,Vålerenga Fotball,CB,33,72
Róber,Spain,R. Sporting,CB,28,72
Gabriel Suazo,Chile,Toulouse FC,LB,26,72
Boško Šutalo,Croatia,Dinamo Zagreb,CB,23,72
Morlaye Sylla,Guinea,Arouca,LM,25,72
Tan Long,China PR,Changchun Yatai,ST,35,72
Ao Tanaka,Japan,Düsseldorf,CDM,25,72
Florian Tardieu,France,AS Saint-Étienne,CDM,31,72
Cristian Tarragona,Argentina,Gimnasia,ST,32,72
Júlio Tavares,Cape Verde Islands,Al Raed,ST,34,72
Léandre Tawamba,Cameroon,Al Okhdood,ST,33,72
Álvaro Tejero,Spain,SD Eibar,RB,27,72
Aleksa Terzić,Serbia,RB Salzburg,LB,24,72
Cedric Teuchert,Germany,Hannover 96,ST,26,72
Mame Thiam,Senegal,Kayserispor,ST,31,72
Jan Thielmann,Germany,1. FC Köln,RM,21,72
Romain Thomas,France,SM Caen,CB,35,72
Phillip Tietz,Germany,FC Augsburg,ST,26,72
Jeremy Toljan,Germany,Sassuolo,RB,29,72
James Tomkins,England,Crystal Palace,CB,34,72
Daniel Torres,Colombia,Indep. Medellín,CDM,33,72
Ibrahim Traoré,Côte d'Ivoire,Viktoria Plzeň,CDM,35,72
Miguel Trauco,Peru,SJ Earthquakes,LB,31,72
Lewis Travis,England,Blackburn Rovers,CDM,25,72
Nicolás Tripichio,Argentina,Defensa,RB,27,72
Fran Tudor,Croatia,Raków,RM,28,72
Ozan Tufan,Turkey,Hull City,CM,28,72
Oleksandr Tymchyk,Ukraine,Dynamo Kyiv,RB,26,72
Andreas Ulmer,Austria,RB Salzburg,LB,37,72
Filip Uremović,Croatia,Hajduk Split,CB,26,72
Nuno Santos,Portugal,Vitória SC,CM,24,72
Nicolás Valentini,Argentina,Boca Juniors,CB,22,72
Alex Valera,Peru,Universitario,ST,27,72
Sepp van den Berg,Holland,1. FSV Mainz 05,CB,21,72
Siebe Van der Heyden,Belgium,RCD Mallorca,CB,25,72
Mike van der Hoorn,Holland,FC Utrecht,CB,30,72
Marco van Ginkel,Holland,Vitesse,CM,30,72
Sydney van Hooijdonk,Holland,Bologna,ST,23,72
Ricky van Wolfswinkel,Holland,FC Twente,ST,34,72
Matías Vargas,Argentina,Shanghai Port,RW,26,72
Lorenzo Venuti,Italy,Lecce,RB,28,72
Benjamin Verbič,Slovenia,Panathinaikos,LW,29,72
Daniele Verde,Italy,Spezia,RM,27,72
Arthur Vermeeren,Belgium,Royal Antwerp FC,CDM,18,72
Yorbe Vertessen,Belgium,PSV,RW,22,72
Hugo Vetlesen,Norway,Club Brugge,CAM,23,72
Francesco Vicari,Italy,Bari,CB,29,72
Emanuel Vignato,Italy,Pisa,CAM,23,72
Héctor Villalba,Paraguay,Libertad,LM,29,72
Mattia Viti,Italy,Sassuolo,CB,21,72
Mërgim Vojvoda,Kosovo,Torino,LM,28,72
Patrik Wålemark,Sweden,sc Heerenveen,RW,21,72
Marcelo Weigandt,Argentina,Boca Juniors,RB,23,72
Gaëtan Weissbeck,France,Bordeaux,CAM,26,72
Ashley Westwood,England,Charlotte FC,CDM,33,72
Mateusz Wieteska,Poland,Cagliari,CB,26,72
Brandon Williams,England,Ipswich,LB,23,72
Chris Willock,England,QPR,LW,25,72
Cláudio Winck,Brazil,Kasımpaşa,RB,29,72
Christopher Wooh,Cameroon,Stade Rennais FC,CB,22,72
Wu Lei,China PR,Shanghai Port,ST,31,72
Gregory Wüthrich,Switzerland,SK Sturm Graz,CB,28,72
Roman Yaremchuk,Ukraine,Valencia CF,ST,27,72
Barış Alper Yılmaz,Turkey,Galatasaray,RM,23,72
İsmail Yüksek,Turkey,Fenerbahçe,CDM,24,72
Alhassan Yusuf,Nigeria,Royal Antwerp FC,CDM,23,72
Luca Zanimacchia,Italy,Cremonese,RM,25,72
Cristian Zapata,Colombia,Atl. Nacional,CB,37,72
Giovanni Zaro,Italy,Modena,CB,29,72
Arbër Zeneli,Kosovo,Adana Demirspor,LM,28,72
Matthias Zimmermann,Germany,Düsseldorf,RB,31,72
Simon Zoller,Germany,FC St. Pauli,ST,32,72
Peter Žulj,Austria,Changchun Yatai,CM,30,72
Ali Abdi,Tunisia,SM Caen,LB,29,71
Ramón Ábila,Argentina,Colón,ST,33,71
Mohammed Abu Fani,Israel,Ferencvárosi TC,CM,25,71
Bryan Acosta,Honduras,Portland Timbers,CDM,29,71
Bismark Adjei-Boateng,Ghana,Jeonbuk Hyundai,CDM,29,71
Felix Afena-Gyan,Ghana,Cremonese,ST,20,71
Lucien Agoumé,France,Inter,CDM,21,71
Emanuel Aguilera,Argentina,Tigre,CB,34,71
Juan Felipe Aguirre,Colombia,Atl. Nacional,CB,27,71
Firas Al Birekan,Saudi Arabia,Al Ahli,ST,23,71
Ali Al Bulayhi,Saudi Arabia,Al Hilal,CB,33,71
Yasser Al Shahrani,Saudi Arabia,Al Hilal,LB,31,71
Gabriel Alanís,Argentina,Defensa,RM,29,71
Christos Albanis,Greece,FC Andorra,LM,28,71
Antolín Alcáraz,Paraguay,Olimpia,CB,41,71
Romain Alessandrini,France,Shenzhen FC,ST,34,71
Oberdan,Brazil,Pohang Steelers,CDM,28,71
Ignacio Aliseda,Argentina,FC Lugano,LM,23,71
Tadeo Allende,Argentina,Godoy Cruz,RM,24,71
Miguel Lopes,Portugal,Estrela Amadora,CB,36,71
João Pedro,Portugal,GD Chaves,CM,30,71
Juan Álvarez,Argentina,Banfield,RM,27,71
Lucas Lima,Brazil,Başakşehir,LB,31,71
Emiliano Amor,Argentina,Colo-Colo,CB,28,71
Mads Juel Andersen,Denmark,Luton Town,CB,25,71
Andrés Andrade,Colombia,Alianza Lima,CAM,34,71
Fabrizio Angileri,Argentina,Getafe CF,LB,29,71
Cristian Ansaldi,Argentina,Parma,LB,37,71
João Correia,Cape Verde Islands,GD Chaves,RB,27,71
Barış Atik,Turkey,1. FC Magdeburg,LW,28,71
Rob Atkinson,England,Bristol City,CB,25,71
Mathias Autret,France,SM Caen,LM,32,71
Gastón Ávila,Argentina,Ajax,CB,22,71
Chidozie Awaziem,Nigeria,Boavista FC,CB,26,71
Jean-Sylvain Babin,France,AD Alcorcón,CB,36,71
Baek Sung Dong,Korea Republic,Pohang Steelers,LM,32,71
Javier Báez,Paraguay,Independiente,CB,33,71
Lewis Baker,England,Stoke City,CM,28,71
George Baldock,Greece,Sheffield Utd,RWB,30,71
Daniel Ballard,Northern Ireland,Sunderland,CB,24,71
Josepmir Ballón,Peru,Alianza Lima,CDM,35,71
Leon Balogun,Nigeria,Rangers,CB,35,71
Tudor Băluță,Romania,Farul Constanța,CDM,24,71
Abdoul Kader Bamba,France,FC Nantes,LM,29,71
Mattia Bani,Italy,Genoa,CB,29,71
Valentín Barco,Argentina,Boca Juniors,LB,19,71
Juan Barinaga,Argentina,Belgrano,RB,22,71
Aymen Barkok,Morocco,1. FSV Mainz 05,CAM,25,71
Daniel Barlaser,England,Middlesbrough,CDM,26,71
Ashley Barnes,England,Norwich,ST,33,71
Pier Barrios,Argentina,Godoy Cruz,CB,33,71
Daniele Baselli,Italy,Como,CM,31,71
Christian Bassogog,Cameroon,Shanghai Shenhua,ST,27,71
Gil Dias,Portugal,Legia Warszawa,LM,27,71
Jelle Bataille,Belgium,Royal Antwerp FC,RB,24,71
Alejandro Bedoya,United States,Philadelphia,CM,36,71
Felix Beijmo,Sweden,AGF,RWB,25,71
Amari'i Bell,Jamaica,Luton Town,LWB,29,71
Mohamed Ali Ben Romdhane,Tunisia,Ferencvárosi TC,CAM,24,71
Sofiane Bendebka,Algeria,Al Fateh,CAM,31,71
Gaston Benedetti,Argentina,Estudiantes,LB,22,71
László Bénes,Slovakia,Hamburger SV,CM,26,71
Jessy Benet,France,Grenoble Foot 38,CM,28,71
Veton Berisha,Norway,Molde FK,ST,29,71
Matteo Bianchetti,Italy,Cremonese,CB,30,71
Jake Bidwell,England,Coventry City,LWB,30,71
Veljko Birmančević,Serbia,Sparta Praha,RW,25,71
Alexis Blin,France,Lecce,CDM,27,71
Daniel Bocanegra,Colombia,Nacional,CB,36,71
Yann Bodiger,France,CD Tenerife,CDM,28,71
Emil Bohinen,Norway,Salernitana,CM,24,71
Nicolai Boilesen,Denmark,F.C. København,CB,31,71
Marcos Bolados,Chile,Colo-Colo,RW,27,71
Franck Boli,Côte d'Ivoire,Portland Timbers,ST,30,71
Federico Bonazzoli,Italy,Hellas Verona,ST,26,71
Toni Borevković,Croatia,Vitória SC,CB,26,71
Cristian Borja,Colombia,SC Braga,LB,30,71
Brandon Borrello,Australia,WS Wanderers,ST,28,71
Walter Bou,Argentina,Vélez Sarsfield,ST,30,71
Bilal Boutobba,France,Clermont Foot 63,RM,25,71
Dedryck Boyata,Belgium,Club Brugge,CB,32,71
Domagoj Bradarić,Croatia,Salernitana,LWB,23,71
Pedro Rebocho,Portugal,Al Khaleej,LB,28,71
Chumi,Spain,UD Almería,CB,24,71
James Bree,England,Southampton,RWB,25,71
Norberto Briasco,Armenia,Boca Juniors,ST,27,71
Dylan Bronn,Tunisia,Salernitana,CB,28,71
Brugui,Spain,Levante UD,RM,26,71
John Buckley,England,Sheffield Wed,CDM,23,71
Julio Buffarini,Argentina,Independiente,RB,35,71
Ezequiel Bullaude,Argentina,Boca Juniors,CAM,22,71
Cristian Buonaiuto,Italy,Cremonese,LM,30,71
Brandon Bye,United States,New England,RB,27,71
Jamie Bynoe-Gittens,England,Borussia Dortmund,LM,19,71
Sam Byram,England,Leeds United,LB,30,71
Ben Cabango,Wales,Swansea City,CB,23,71
Liberato Cacace,New Zealand,Empoli,LB,23,71
Martín Cáceres,Uruguay,LA Galaxy,CB,36,71
Jhonder Cádiz,Venezuela,FC Famalicão,ST,28,71
Riccardo Calafiori,Italy,Bologna,LB,21,71
Horacio Calcaterra,Peru,Universitario,CM,34,71
Francisco Calvo,Costa Rica,Konyaspor,CB,31,71
Camarasa,Spain,R. Oviedo,CM,29,71
Fali Candé,Guinea-Bissau,FC Metz,CB,25,71
Cao Yunding,China PR,Shanghai Shenhua,LM,33,71
Pierrick Capelle,France,Angers SCO,CM,36,71
Marc Cardona,Spain,UD Las Palmas,ST,28,71
Óscar Cardozo,Paraguay,Libertad,ST,40,71
Federico Carrizo,Argentina,Cerro Porteño,CAM,32,71
Tiago Santos,Portugal,LOSC Lille,RB,21,71
Giuseppe Caso,Italy,Frosinone,LW,24,71
